resource_type,resource_id,used_lightpaths,capacity_lightpaths,free_lightpaths,utilization
optical_fiber,of_52,27,100,73,0.270
optical_fiber,of_53,35,100,65,0.350
optical_fiber,of_54,24,100,76,0.240
optical_fiber,of_55,0,100,100,0.000
optical_fiber,of_56,28,100,72,0.280
optical_fiber,of_57,0,100,100,0.000
optical_fiber,of_58,0,100,100,0.000
optical_fiber,of_59,0,100,100,0.000
optical_fiber,of_6,0,100,100,0.000
optical_fiber,of_60,17,100,83,0.170
optical_fiber,of_61,0,100,100,0.000
optical_fiber,of_62,0,100,100,0.000
optical_fiber,of_63,0,100,100,0.000
optical_fiber,of_64,22,100,78,0.220
optical_fiber,of_65,0,100,100,0.000
optical_fiber,of_66,0,100,100,0.000
optical_fiber,of_67,30,100,70,0.300
optical_fiber,of_68,0,100,100,0.000
optical_fiber,of_69,0,100,100,0.000
optical_fiber,of_7,14,100,86,0.140
optical_fiber,of_70,2,100,98,0.020
optical_fiber,of_71,0,100,100,0.000
optical_fiber,of_72,2,100,98,0.020
optical_fiber,of_73,0,100,100,0.000
optical_fiber,of_74,0,100,100,0.000
optical_fiber,of_75,0,100,100,0.000
optical_fiber,of_76,19,100,81,0.190
optical_fiber,of_77,29,100,71,0.290
optical_fiber,of_78,0,100,100,0.000
optical_fiber,of_79,0,100,100,0.000
optical_fiber,of_8,0,100,100,0.000
optical_fiber,of_80,0,100,100,0.000
optical_fiber,of_81,0,100,100,0.000
optical_fiber,of_82,46,100,54,0.460
optical_fiber,of_83,0,100,100,0.000
optical_fiber,of_84,17,100,83,0.170
optical_fiber,of_85,0,100,100,0.000
optical_fiber,of_86,0,100,100,0.000
optical_fiber,of_87,0,100,100,0.000
optical_fiber,of_88,0,100,100,0.000
optical_fiber,of_89,0,100,100,0.000
optical_fiber,of_9,0,100,100,0.000
optical_fiber,of_90,13,100,87,0.130
optical_fiber,of_91,29,100,71,0.290
optical_fiber,of_92,3,100,97,0.030
optical_fiber,of_93,0,100,100,0.000
optical_fiber,of_94,0,100,100,0.000
optical_fiber,of_95,0,100,100,0.000
optical_fiber,of_96,3,100,97,0.030
optical_fiber,of_97,0,100,100,0.000
optical_fiber,of_98,16,100,84,0.160
optical_fiber,of_99,0,100,100,0.000
ip_transceiver,ip_0,2,100,98,0.020
ip_transceiver,ip_1,14,100,86,0.140
ip_transceiver,ip_10,56,100,44,0.560
ip_transceiver,ip_11,13,100,87,0.130
ip_transceiver,ip_12,50,100,50,0.500
ip_transceiver,ip_13,69,100,31,0.690
ip_transceiver,ip_14,80,100,20,0.800
ip_transceiver,ip_15,86,100,14,0.860
ip_transceiver,ip_16,75,100,25,0.750
ip_transceiver,ip_17,8,100,92,0.080
ip_transceiver,ip_18,7,100,93,0.070
ip_transceiver,ip_19,69,100,31,0.690
ip_transceiver,ip_2,46,100,54,0.460
ip_transceiver,ip_20,64,100,36,0.640
ip_transceiver,ip_21,28,100,72,0.280
ip_transceiver,ip_22,3,100,97,0.030
ip_transceiver,ip_23,9,100,91,0.090
ip_transceiver,ip_24,77,100,23,0.770
ip_transceiver,ip_25,61,100,39,0.610
ip_transceiver,ip_26,100,100,0,1.000
ip_transceiver,ip_27,26,100,74,0.260
ip_transceiver,ip_28,71,100,29,0.710
ip_transceiver,ip_29,10,100,90,0.100
ip_transceiver,ip_3,24,100,76,0.240
ip_transceiver,ip_30,2,100,98,0.020
ip_transceiver,ip_31,79,100,21,0.790
ip_transceiver,ip_4,100,100,0,1.000
ip_transceiver,ip_5,26,100,74,0.260
ip_transceiver,ip_6,47,100,53,0.470
ip_transceiver,ip_7,49,100,51,0.490
ip_transceiver,ip_8,59,100,41,0.590
ip_transceiver,ip_9,46,100,54,0.460
