lightpath_id,ip_link_id,segment_order,optical_link_id,src_optical_node_id,dst_optical_node_id,slot_index,status
lp_25,ip_link_25,1,of_67,opt_9,opt_17,,planned
lp_25,ip_link_25,2,of_64,opt_17,opt_24,,planned
lp_26,ip_link_26,0,of_82,opt_2,opt_9,,planned
lp_27,ip_link_27,0,of_84,opt_20,opt_24,,planned
lp_28,ip_link_28,0,of_20,opt_20,opt_11,,planned
lp_28,ip_link_28,1,of_23,opt_11,opt_27,,planned
lp_28,ip_link_28,2,of_108,opt_27,opt_29,,planned
lp_28,ip_link_28,3,of_116,opt_29,opt_31,,planned
lp_29,ip_link_29,0,of_90,opt_21,opt_26,,planned
lp_30,ip_link_30,0,of_122,opt_6,opt_31,,planned
lp_30,ip_link_30,1,of_96,opt_31,opt_23,,planned
lp_30,ip_link_30,2,of_92,opt_23,opt_22,,planned
lp_31,ip_link_31,0,of_33,opt_23,opt_12,,planned
lp_31,ip_link_31,1,of_34,opt_12,opt_26,,planned
lp_32,ip_link_32,0,of_98,opt_24,opt_25,,planned
lp_33,ip_link_33,0,of_101,opt_7,opt_24,,planned
lp_34,ip_link_34,0,of_105,opt_7,opt_25,,planned
lp_35,ip_link_35,0,of_34,opt_26,opt_12,,planned
lp_35,ip_link_35,1,of_35,opt_12,opt_29,,planned
lp_36,ip_link_36,0,of_120,opt_3,opt_9,,planned
lp_36,ip_link_36,1,of_107,opt_9,opt_26,,planned
lp_37,ip_link_37,0,of_124,opt_8,opt_6,,planned
lp_37,ip_link_37,1,of_118,opt_6,opt_29,,planned
lp_37,ip_link_37,2,of_35,opt_29,opt_12,,planned
lp_37,ip_link_37,3,of_34,opt_12,opt_26,,planned
lp_38,ip_link_38,0,of_109,opt_3,opt_27,,planned
lp_39,ip_link_39,0,of_110,opt_4,opt_27,,planned
lp_39,ip_link_39,1,of_23,opt_27,opt_11,,planned
lp_39,ip_link_39,2,of_24,opt_11,opt_28,,planned
lp_40,ip_link_40,0,of_51,opt_8,opt_14,,planned
lp_40,ip_link_40,1,of_50,opt_14,opt_7,,planned
lp_40,ip_link_40,2,of_114,opt_7,opt_28,,planned
lp_41,ip_link_41,0,of_72,opt_8,opt_18,,planned
lp_41,ip_link_41,1,of_70,opt_18,opt_30,,planned
lp_42,ip_link_42,0,of_110,opt_4,opt_27,,planned
lp_42,ip_link_42,1,of_112,opt_27,opt_9,,planned
lp_43,ip_link_43,0,of_123,opt_5,opt_7,,planned
lp_43,ip_link_43,1,of_50,opt_7,opt_14,,planned
lp_43,ip_link_43,2,of_51,opt_14,opt_8,,planned
lp_44,ip_link_44,0,of_124,opt_6,opt_8,,planned
