demand_id,traffic_type,hypergiant_id,cdn_node_id,end_user_node_id,src_ip_node_id,dst_ip_node_id,demand_gbps,ip_path,ip_link_path,ip_hops,opened_lightpaths,status,block_reason
h_10,H,hg_0,cdn_0,user_26,ip_14,ip_4,16.000,ip_14-ip_13-ip_16-ip_4,ip_link_9-ip_link_10-ip_link_21,3,1,routed,
h_11,H,hg_1,cdn_2,user_2,ip_28,ip_1,18.000,ip_28-ip_4-ip_1,ip_link_39-ip_link_1,2,0,routed,
h_12,H,hg_2,cdn_5,user_8,ip_4,ip_6,17.000,ip_4-ip_13-ip_16-ip_27-ip_3-ip_26-ip_8-ip_28-ip_15-ip_6,ip_link_12-ip_link_10-ip_link_20-ip_link_38-ip_link_36-ip_link_37-ip_link_40-ip_link_16-ip_link_18,9,2,routed,
h_13,H,hg_3,cdn_6,user_22,ip_13,ip_13,9.000,ip_13,,0,0,routed,
h_14,H,hg_4,cdn_8,user_26,ip_11,ip_4,27.000,ip_11-ip_5-ip_8-ip_6-ip_15-ip_31-ip_12-ip_26-ip_14-ip_16-ip_4,ip_link_5-ip_link_43-ip_link_44-ip_link_18-ip_link_17-ip_link_8-ip_link_7-ip_link_15-ip_link_13-ip_link_21,10,5,routed,
h_15,H,hg_0,cdn_0,user_19,ip_14,ip_4,9.000,ip_14-ip_26-ip_12-ip_31-ip_15-ip_6-ip_8-ip_28-ip_4,ip_link_15-ip_link_7-ip_link_8-ip_link_17-ip_link_18-ip_link_44-ip_link_40-ip_link_39,8,1,routed,
h_16,H,hg_1,cdn_2,user_10,ip_28,ip_13,24.000,ip_28-ip_4-ip_13,ip_link_39-ip_link_12,2,1,routed,
h_17,H,hg_2,cdn_4,user_24,ip_14,ip_6,14.000,ip_14-ip_13-ip_4-ip_28-ip_8-ip_6,ip_link_9-ip_link_12-ip_link_39-ip_link_40-ip_link_44,5,1,routed,
h_18,H,hg_3,cdn_7,user_3,ip_28,ip_6,26.000,ip_28-ip_8-ip_6,ip_link_40-ip_link_44,2,0,routed,
h_19,H,hg_4,cdn_9,user_0,ip_1,ip_19,10.000,ip_1-ip_4-ip_13-ip_26-ip_12-ip_25-ip_7-ip_19,ip_link_1-ip_link_12-ip_link_11-ip_link_7-ip_link_6-ip_link_34-ip_link_24,7,0,routed,
h_20,H,hg_0,cdn_0,user_23,ip_14,ip_1,11.000,ip_14-ip_16-ip_4-ip_1,ip_link_13-ip_link_21-ip_link_1,3,1,routed,
h_21,H,hg_1,cdn_2,user_9,ip_28,ip_7,19.000,ip_28-ip_15-ip_31-ip_20-ip_24-ip_2-ip_9-ip_4-ip_13-ip_16-ip_14-ip_19-ip_7,ip_link_16-ip_link_17-ip_link_28-ip_link_27-ip_link_25-ip_link_26-ip_link_42-ip_link_12-ip_link_10-ip_link_13-ip_link_14-ip_link_24,12,6,routed,
h_22,H,hg_2,cdn_4,user_25,ip_14,ip_9,30.000,ip_14-ip_19-ip_7-ip_25-ip_24-ip_2-ip_9,ip_link_14-ip_link_24-ip_link_34-ip_link_32-ip_link_25-ip_link_26,6,4,routed,
h_23,H,hg_3,cdn_7,user_5,ip_28,ip_11,17.000,ip_28-ip_4-ip_13-ip_14-ip_16-ip_27-ip_3-ip_26-ip_8-ip_5-ip_11,ip_link_39-ip_link_12-ip_link_9-ip_link_13-ip_link_20-ip_link_38-ip_link_36-ip_link_37-ip_link_43-ip_link_5,10,5,routed,
h_24,H,hg_4,cdn_9,user_14,ip_1,ip_31,26.000,ip_1-ip_4-ip_28-ip_15-ip_31,ip_link_1-ip_link_39-ip_link_16-ip_link_17,4,1,routed,
h_25,H,hg_0,cdn_0,user_22,ip_14,ip_13,10.000,ip_14-ip_13,ip_link_9,1,0,routed,
h_26,H,hg_1,cdn_3,user_16,ip_29,ip_29,8.000,ip_29,,0,0,routed,
h_27,H,hg_2,cdn_5,user_5,ip_4,ip_11,18.000,ip_4-ip_9-ip_2-ip_24-ip_20-ip_31-ip_15-ip_28-ip_8-ip_5-ip_11,ip_link_42-ip_link_26-ip_link_25-ip_link_27-ip_link_28-ip_link_17-ip_link_16-ip_link_40-ip_link_43-ip_link_5,10,4,routed,
h_28,H,hg_3,cdn_6,user_19,ip_13,ip_4,9.000,ip_13-ip_14-ip_16-ip_4,ip_link_9-ip_link_13-ip_link_21,3,0,routed,
h_29,H,hg_4,cdn_8,user_10,ip_11,ip_13,26.000,ip_11-ip_5-ip_8-ip_28-ip_4-ip_13,ip_link_5-ip_link_43-ip_link_40-ip_link_39-ip_link_12,5,3,routed,
h_30,H,hg_0,cdn_0,user_28,ip_14,ip_18,8.000,ip_14-ip_19-ip_10-ip_20-ip_24-ip_18,ip_link_14-ip_link_2-ip_link_3-ip_link_27-ip_link_23,5,1,routed,
h_31,H,hg_1,cdn_2,user_8,ip_28,ip_6,22.000,ip_28-ip_15-ip_6,ip_link_16-ip_link_18,2,1,routed,
h_32,H,hg_2,cdn_5,user_2,ip_4,ip_1,19.000,ip_4-ip_1,ip_link_1,1,0,routed,
h_33,H,hg_3,cdn_6,user_12,ip_13,ip_1,27.000,ip_13-ip_4-ip_1,ip_link_12-ip_link_1,2,2,routed,
h_34,H,hg_4,cdn_9,user_0,ip_1,ip_19,9.000,ip_1-ip_4-ip_16-ip_13-ip_14-ip_19,ip_link_1-ip_link_21-ip_link_10-ip_link_9-ip_link_14,5,0,routed,
h_35,H,hg_0,cdn_0,user_21,ip_14,ip_21,24.000,ip_14-ip_26-ip_12-ip_25-ip_7-ip_19-ip_10-ip_20-ip_31-ip_15-ip_28-ip_4-ip_13-ip_16-ip_21,ip_link_15-ip_link_7-ip_link_6-ip_link_34-ip_link_24-ip_link_2-ip_link_3-ip_link_28-ip_link_17-ip_link_16-ip_link_39-ip_link_12-ip_link_10-ip_link_19,14,5,routed,
h_36,H,hg_1,cdn_3,user_20,ip_29,ip_27,18.000,ip_29-ip_26-ip_14-ip_16-ip_27,ip_link_35-ip_link_15-ip_link_13-ip_link_20,4,1,routed,
h_37,H,hg_2,cdn_5,user_6,ip_4,ip_19,21.000,ip_4-ip_16-ip_27-ip_3-ip_26-ip_13-ip_14-ip_19,ip_link_21-ip_link_20-ip_link_38-ip_link_36-ip_link_11-ip_link_9-ip_link_14,7,4,routed,
h_38,H,hg_3,cdn_6,user_20,ip_13,ip_27,22.000,ip_13-ip_26-ip_21-ip_16-ip_27,ip_link_11-ip_link_29-ip_link_19-ip_link_20,4,3,routed,
h_39,H,hg_4,cdn_8,user_11,ip_11,ip_23,18.000,ip_11-ip_5-ip_8-ip_26-ip_23,ip_link_5-ip_link_43-ip_link_37-ip_link_31,4,1,routed,
h_40,H,hg_0,cdn_1,user_14,ip_4,ip_31,20.000,ip_4-ip_28-ip_15-ip_31,ip_link_39-ip_link_16-ip_link_17,3,2,routed,
h_41,H,hg_1,cdn_3,user_18,ip_29,ip_31,26.000,ip_29-ip_26-ip_14-ip_19-ip_10-ip_25-ip_7-ip_24-ip_20-ip_31,ip_link_35-ip_link_15-ip_link_14-ip_link_2-ip_link_4-ip_link_34-ip_link_33-ip_link_27-ip_link_28,9,5,routed,
h_42,H,hg_2,cdn_5,user_28,ip_4,ip_18,25.000,ip_4-ip_9-ip_2-ip_24-ip_18,ip_link_42-ip_link_26-ip_link_25-ip_link_23,4,3,routed,
h_43,H,hg_3,cdn_7,user_19,ip_28,ip_4,22.000,ip_28-ip_4,ip_link_39,1,0,routed,
h_44,H,hg_4,cdn_9,user_0,ip_1,ip_19,20.000,ip_1-ip_4-ip_16-ip_14-ip_19,ip_link_1-ip_link_21-ip_link_13-ip_link_14,4,3,routed,
h_45,H,hg_0,cdn_1,user_20,ip_4,ip_27,17.000,ip_4-ip_13-ip_14-ip_26-ip_21-ip_16-ip_27,ip_link_12-ip_link_9-ip_link_15-ip_link_29-ip_link_19-ip_link_20,6,2,routed,
h_46,H,hg_1,cdn_2,user_27,ip_28,ip_23,21.000,ip_28-ip_15-ip_31-ip_12-ip_26-ip_23,ip_link_16-ip_link_17-ip_link_8-ip_link_7-ip_link_31,5,2,routed,
h_47,H,hg_2,cdn_4,user_0,ip_14,ip_19,17.000,ip_14-ip_19,ip_link_14,1,0,routed,
h_48,H,hg_3,cdn_6,user_19,ip_13,ip_4,5.000,ip_13-ip_14-ip_16-ip_4,ip_link_9-ip_link_13-ip_link_21,3,0,routed,
h_49,H,hg_4,cdn_9,user_10,ip_1,ip_13,6.000,ip_1-ip_4-ip_13,ip_link_1-ip_link_12,2,0,routed,
h_50,H,hg_0,cdn_1,user_13,ip_4,ip_17,21.000,ip_4-ip_28-ip_15-ip_6-ip_17,ip_link_39-ip_link_16-ip_link_18-ip_link_22,4,2,routed,
h_51,H,hg_1,cdn_2,user_26,ip_28,ip_4,30.000,ip_28-ip_15-ip_31-ip_20-ip_10-ip_25-ip_24-ip_2-ip_9-ip_4,ip_link_16-ip_link_17-ip_link_28-ip_link_3-ip_link_4-ip_link_32-ip_link_25-ip_link_26-ip_link_42,9,5,routed,
h_52,H,hg_2,cdn_4,user_5,ip_14,ip_11,29.000,ip_14-ip_13-ip_4-ip_9-ip_2-ip_24-ip_20-ip_10-ip_19-ip_7-ip_25-ip_12-ip_31-ip_15-ip_6-ip_8-ip_5-ip_11,ip_link_9-ip_link_12-ip_link_42-ip_link_26-ip_link_25-ip_link_27-ip_link_3-ip_link_2-ip_link_24-ip_link_34-ip_link_6-ip_link_8-ip_link_17-ip_link_18-ip_link_44-ip_link_43-ip_link_5,17,8,routed,
h_53,H,hg_3,cdn_6,user_21,ip_13,ip_21,23.000,ip_13-ip_14-ip_26-ip_3-ip_27-ip_16-ip_21,ip_link_9-ip_link_15-ip_link_36-ip_link_38-ip_link_20-ip_link_19,6,2,routed,
h_54,H,hg_4,cdn_9,user_2,ip_1,ip_1,21.000,ip_1,,0,0,routed,
h_55,H,hg_0,cdn_1,user_25,ip_4,ip_9,29.000,ip_4-ip_9,ip_link_42,1,1,routed,
h_56,H,hg_1,cdn_3,user_25,ip_29,ip_9,14.000,ip_29-ip_26-ip_13-ip_4-ip_9,ip_link_35-ip_link_11-ip_link_12-ip_link_42,4,2,routed,
h_57,H,hg_2,cdn_4,user_14,ip_14,ip_31,27.000,ip_14-ip_19-ip_10-ip_20-ip_24-ip_25-ip_12-ip_31,ip_link_14-ip_link_2-ip_link_3-ip_link_27-ip_link_32-ip_link_6-ip_link_8,7,6,routed,
h_58,H,hg_3,cdn_7,user_28,ip_28,ip_18,30.000,ip_28-ip_4-ip_9-ip_2-ip_24-ip_18,ip_link_39-ip_link_42-ip_link_26-ip_link_25-ip_link_23,5,4,routed,
h_59,H,hg_4,cdn_8,user_8,ip_11,ip_6,5.000,ip_11-ip_5-ip_8-ip_26-ip_21-ip_16-ip_4-ip_28-ip_15-ip_6,ip_link_5-ip_link_43-ip_link_37-ip_link_29-ip_link_19-ip_link_21-ip_link_39-ip_link_16-ip_link_18,9,1,routed,
h_60,H,hg_0,cdn_1,user_22,ip_4,ip_13,10.000,ip_4-ip_13,ip_link_12,1,0,routed,
h_61,H,hg_1,cdn_2,user_14,ip_28,ip_31,17.000,ip_28-ip_15-ip_31,ip_link_16-ip_link_17,2,2,routed,
h_62,H,hg_2,cdn_4,user_26,ip_14,ip_4,6.000,ip_14-ip_26-ip_21-ip_16-ip_4,ip_link_15-ip_link_29-ip_link_19-ip_link_21,4,0,routed,
h_63,H,hg_3,cdn_6,user_6,ip_13,ip_19,26.000,ip_13-ip_4-ip_28-ip_15-ip_31-ip_12-ip_26-ip_14-ip_19,ip_link_12-ip_link_39-ip_link_16-ip_link_17-ip_link_8-ip_link_7-ip_link_15-ip_link_14,8,3,routed,
h_64,H,hg_4,cdn_8,user_10,ip_11,ip_13,26.000,ip_11-ip_5-ip_8-ip_28-ip_4-ip_13,ip_link_5-ip_link_43-ip_link_40-ip_link_39-ip_link_12,5,2,routed,
h_65,H,hg_0,cdn_0,user_2,ip_14,ip_1,17.000,ip_14-ip_26-ip_21-ip_16-ip_4-ip_1,ip_link_15-ip_link_29-ip_link_19-ip_link_21-ip_link_1,5,2,routed,
h_66,H,hg_1,cdn_3,user_9,ip_29,ip_7,23.000,ip_29-ip_26-ip_13-ip_14-ip_19-ip_10-ip_25-ip_7,ip_link_35-ip_link_11-ip_link_9-ip_link_14-ip_link_2-ip_link_4-ip_link_34,7,3,routed,
h_67,H,hg_2,cdn_4,user_18,ip_14,ip_31,6.000,ip_14-ip_13-ip_26-ip_12-ip_31,ip_link_9-ip_link_11-ip_link_7-ip_link_8,4,1,routed,
h_68,H,hg_3,cdn_6,user_16,ip_13,ip_29,7.000,ip_13-ip_26-ip_29,ip_link_11-ip_link_35,2,0,routed,
h_69,H,hg_4,cdn_9,user_27,ip_1,ip_23,8.000,ip_1-ip_4-ip_13-ip_26-ip_23,ip_link_1-ip_link_12-ip_link_11-ip_link_31,4,0,routed,
h_70,H,hg_0,cdn_0,user_9,ip_14,ip_7,12.000,ip_14-ip_26-ip_21-ip_16-ip_13-ip_4-ip_28-ip_8-ip_6-ip_15-ip_31-ip_20-ip_10-ip_19-ip_7,ip_link_15-ip_link_29-ip_link_19-ip_link_10-ip_link_12-ip_link_39-ip_link_40-ip_link_44-ip_link_18-ip_link_17-ip_link_28-ip_link_3-ip_link_2-ip_link_24,14,1,routed,
h_71,H,hg_1,cdn_2,user_28,ip_28,ip_18,21.000,ip_28-ip_15-ip_31-ip_20-ip_24-ip_18,ip_link_16-ip_link_17-ip_link_28-ip_link_27-ip_link_23,5,2,routed,
h_72,H,hg_2,cdn_4,user_13,ip_14,ip_17,21.000,ip_14-ip_16-ip_21-ip_26-ip_12-ip_31-ip_15-ip_6-ip_17,ip_link_13-ip_link_19-ip_link_29-ip_link_7-ip_link_8-ip_link_17-ip_link_18-ip_link_22,8,1,routed,
h_73,H,hg_3,cdn_6,user_22,ip_13,ip_13,28.000,ip_13,,0,0,routed,
h_74,H,hg_4,cdn_8,user_6,ip_11,ip_19,24.000,ip_11-ip_5-ip_8-ip_26-ip_13-ip_14-ip_19,ip_link_5-ip_link_43-ip_link_37-ip_link_11-ip_link_9-ip_link_14,6,3,routed,
h_75,H,hg_0,cdn_1,user_15,ip_4,ip_8,11.000,ip_4-ip_28-ip_8,ip_link_39-ip_link_40,2,1,routed,
h_76,H,hg_1,cdn_3,user_9,ip_29,ip_7,12.000,ip_29-ip_26-ip_12-ip_25-ip_24-ip_7,ip_link_35-ip_link_7-ip_link_6-ip_link_32-ip_link_33,5,2,routed,
h_77,H,hg_2,cdn_4,user_24,ip_14,ip_6,16.000,ip_14-ip_13-ip_4-ip_16-ip_27-ip_3-ip_26-ip_12-ip_25-ip_10-ip_19-ip_7-ip_24-ip_20-ip_31-ip_15-ip_6,ip_link_9-ip_link_12-ip_link_21-ip_link_20-ip_link_38-ip_link_36-ip_link_7-ip_link_6-ip_link_4-ip_link_2-ip_link_24-ip_link_33-ip_link_27-ip_link_28-ip_link_17-ip_link_18,16,9,routed,
h_78,H,hg_3,cdn_7,user_13,ip_28,ip_17,20.000,ip_28-ip_15-ip_6-ip_17,ip_link_16-ip_link_18-ip_link_22,3,0,routed,
h_79,H,hg_4,cdn_9,user_21,ip_1,ip_21,29.000,ip_1-ip_4-ip_9-ip_2-ip_24-ip_25-ip_12-ip_26-ip_21,ip_link_1-ip_link_42-ip_link_26-ip_link_25-ip_link_32-ip_link_6-ip_link_7-ip_link_29,8,4,routed,
h_80,H,hg_0,cdn_1,user_9,ip_4,ip_7,13.000,ip_4-ip_28-ip_15-ip_31-ip_12-ip_25-ip_10-ip_20-ip_24-ip_7,ip_link_39-ip_link_16-ip_link_17-ip_link_8-ip_link_6-ip_link_4-ip_link_3-ip_link_27-ip_link_33,9,2,routed,
h_81,H,hg_1,cdn_3,user_6,ip_29,ip_19,30.000,ip_29-ip_26-ip_14-ip_19,ip_link_35-ip_link_15-ip_link_14,3,2,routed,
h_82,H,hg_2,cdn_4,user_0,ip_14,ip_19,27.000,ip_14-ip_19,ip_link_14,1,0,routed,
h_83,H,hg_3,cdn_6,user_4,ip_13,ip_2,17.000,ip_13-ip_14-ip_16-ip_4-ip_9-ip_2,ip_link_9-ip_link_13-ip_link_21-ip_link_42-ip_link_26,5,2,routed,
h_84,H,hg_4,cdn_8,user_29,ip_11,ip_29,20.000,ip_11-ip_5-ip_8-ip_26-ip_29,ip_link_5-ip_link_43-ip_link_37-ip_link_35,4,2,routed,
h_85,H,hg_0,cdn_0,user_24,ip_14,ip_6,17.000,ip_14-ip_16-ip_13-ip_4-ip_9-ip_2-ip_24-ip_25-ip_7-ip_19-ip_10-ip_20-ip_31-ip_12-ip_26-ip_8-ip_6,ip_link_13-ip_link_10-ip_link_12-ip_link_42-ip_link_26-ip_link_25-ip_link_32-ip_link_34-ip_link_24-ip_link_2-ip_link_3-ip_link_28-ip_link_8-ip_link_7-ip_link_37-ip_link_44,16,8,routed,
h_86,H,hg_1,cdn_2,user_3,ip_28,ip_6,27.000,ip_28-ip_15-ip_6,ip_link_16-ip_link_18,2,2,routed,
h_87,H,hg_2,cdn_4,user_11,ip_14,ip_23,19.000,ip_14-ip_13-ip_26-ip_23,ip_link_9-ip_link_11-ip_link_31,3,0,routed,
h_88,H,hg_3,cdn_7,user_28,ip_28,ip_18,12.000,ip_28-ip_15-ip_6-ip_8-ip_26-ip_3-ip_27-ip_16-ip_14-ip_19-ip_10-ip_20-ip_31-ip_12-ip_25-ip_24-ip_18,ip_link_16-ip_link_18-ip_link_44-ip_link_37-ip_link_36-ip_link_38-ip_link_20-ip_link_13-ip_link_14-ip_link_2-ip_link_3-ip_link_28-ip_link_8-ip_link_6-ip_link_32-ip_link_23,16,3,routed,
h_89,H,hg_4,cdn_9,user_11,ip_1,ip_23,10.000,ip_1-ip_4-ip_28-ip_8-ip_26-ip_23,ip_link_1-ip_link_39-ip_link_40-ip_link_37-ip_link_31,5,2,routed,
h_90,H,hg_0,cdn_0,user_21,ip_14,ip_21,22.000,ip_14-ip_13-ip_16-ip_21,ip_link_9-ip_link_10-ip_link_19,3,1,routed,
h_91,H,hg_1,cdn_2,user_12,ip_28,ip_1,5.000,ip_28-ip_15-ip_6-ip_8-ip_26-ip_14-ip_16-ip_13-ip_4-ip_1,ip_link_16-ip_link_18-ip_link_44-ip_link_37-ip_link_15-ip_link_13-ip_link_10-ip_link_12-ip_link_1,9,2,routed,
h_92,H,hg_2,cdn_5,user_18,ip_4,ip_31,26.000,ip_4-ip_28-ip_15-ip_31,ip_link_39-ip_link_16-ip_link_17,3,2,routed,
h_93,H,hg_3,cdn_7,user_26,ip_28,ip_4,18.000,ip_28-ip_4,ip_link_39,1,0,routed,
h_94,H,hg_4,cdn_9,user_9,ip_1,ip_7,23.000,ip_1-ip_4-ip_9-ip_2-ip_24-ip_25-ip_7,ip_link_1-ip_link_42-ip_link_26-ip_link_25-ip_link_32-ip_link_34,6,2,routed,
h_95,H,hg_0,cdn_0,user_18,ip_14,ip_31,25.000,ip_14-ip_19-ip_7-ip_25-ip_24-ip_2-ip_9-ip_4-ip_28-ip_8-ip_6-ip_15-ip_31,ip_link_14-ip_link_24-ip_link_34-ip_link_32-ip_link_25-ip_link_26-ip_link_42-ip_link_39-ip_link_40-ip_link_44-ip_link_18-ip_link_17,12,5,routed,
h_96,H,hg_1,cdn_2,user_7,ip_28,ip_17,27.000,ip_28-ip_15-ip_6-ip_17,ip_link_16-ip_link_18-ip_link_22,3,2,routed,
h_97,H,hg_2,cdn_4,user_23,ip_14,ip_1,29.000,ip_14-ip_16-ip_13-ip_4-ip_1,ip_link_13-ip_link_10-ip_link_12-ip_link_1,4,4,routed,
h_98,H,hg_3,cdn_6,user_8,ip_13,ip_6,17.000,ip_13-ip_26-ip_8-ip_6,ip_link_11-ip_link_37-ip_link_44,3,1,routed,
h_99,H,hg_4,cdn_9,user_12,ip_1,ip_1,17.000,ip_1,,0,0,routed,
h_100,H,hg_0,cdn_0,user_12,ip_14,ip_1,30.000,ip_14-ip_13-ip_26-ip_21-ip_16-ip_4-ip_1,ip_link_9-ip_link_11-ip_link_29-ip_link_19-ip_link_21-ip_link_1,6,3,routed,
h_101,H,hg_1,cdn_2,user_0,ip_28,ip_19,28.000,ip_28-ip_4-ip_9-ip_2-ip_24-ip_7-ip_25-ip_10-ip_19,ip_link_39-ip_link_42-ip_link_26-ip_link_25-ip_link_33-ip_link_34-ip_link_4-ip_link_2,8,4,routed,
h_102,H,hg_2,cdn_5,user_21,ip_4,ip_21,11.000,ip_4-ip_13-ip_14-ip_16-ip_21,ip_link_12-ip_link_9-ip_link_13-ip_link_19,4,1,routed,
h_103,H,hg_3,cdn_7,user_20,ip_28,ip_27,5.000,ip_28-ip_4-ip_16-ip_14-ip_19-ip_7-ip_24-ip_20-ip_10-ip_25-ip_12-ip_26-ip_3-ip_27,ip_link_39-ip_link_21-ip_link_13-ip_link_14-ip_link_24-ip_link_33-ip_link_27-ip_link_3-ip_link_4-ip_link_6-ip_link_7-ip_link_36-ip_link_38,13,0,routed,
h_104,H,hg_4,cdn_8,user_10,ip_11,ip_13,16.000,ip_11-ip_5-ip_8-ip_26-ip_13,ip_link_5-ip_link_43-ip_link_37-ip_link_11,4,2,routed,
h_105,H,hg_0,cdn_1,user_23,ip_4,ip_1,11.000,ip_4-ip_1,ip_link_1,1,1,routed,
h_106,H,hg_1,cdn_2,user_26,ip_28,ip_4,28.000,ip_28-ip_4,ip_link_39,1,1,routed,
h_107,H,hg_2,cdn_5,user_7,ip_4,ip_17,27.000,ip_4-ip_16-ip_21-ip_26-ip_12-ip_31-ip_15-ip_6-ip_17,ip_link_21-ip_link_19-ip_link_29-ip_link_7-ip_link_8-ip_link_17-ip_link_18-ip_link_22,8,2,routed,
h_108,H,hg_3,cdn_6,user_25,ip_13,ip_9,16.000,ip_13-ip_4-ip_9,ip_link_12-ip_link_42,2,1,routed,
h_109,H,hg_4,cdn_8,user_26,ip_11,ip_4,19.000,ip_11-ip_5-ip_8-ip_28-ip_4,ip_link_5-ip_link_43-ip_link_40-ip_link_39,4,1,routed,
h_110,H,hg_0,cdn_1,user_18,ip_4,ip_31,10.000,ip_4-ip_9-ip_2-ip_24-ip_7-ip_19-ip_14-ip_13-ip_26-ip_12-ip_31,ip_link_42-ip_link_26-ip_link_25-ip_link_33-ip_link_24-ip_link_14-ip_link_9-ip_link_11-ip_link_7-ip_link_8,10,3,routed,
h_111,H,hg_1,cdn_3,user_5,ip_29,ip_11,9.000,ip_29-ip_26-ip_14-ip_19-ip_7-ip_24-ip_25-ip_12-ip_31-ip_15-ip_28-ip_8-ip_5-ip_11,ip_link_35-ip_link_15-ip_link_14-ip_link_24-ip_link_33-ip_link_32-ip_link_6-ip_link_8-ip_link_17-ip_link_16-ip_link_40-ip_link_43-ip_link_5,13,3,routed,
h_112,H,hg_2,cdn_5,user_20,ip_4,ip_27,11.000,ip_4-ip_13-ip_26-ip_21-ip_16-ip_27,ip_link_12-ip_link_11-ip_link_29-ip_link_19-ip_link_20,5,0,routed,
h_113,H,hg_3,cdn_6,user_10,ip_13,ip_13,20.000,ip_13,,0,0,routed,
h_114,H,hg_4,cdn_8,user_28,ip_11,ip_18,8.000,ip_11-ip_5-ip_8-ip_28-ip_15-ip_31-ip_12-ip_25-ip_10-ip_20-ip_24-ip_18,ip_link_5-ip_link_43-ip_link_40-ip_link_16-ip_link_17-ip_link_8-ip_link_6-ip_link_4-ip_link_3-ip_link_27-ip_link_23,11,1,routed,
h_115,H,hg_0,cdn_0,user_23,ip_14,ip_1,26.000,ip_14-ip_16-ip_4-ip_1,ip_link_13-ip_link_21-ip_link_1,3,2,routed,
h_116,H,hg_1,cdn_2,user_15,ip_28,ip_8,26.000,ip_28-ip_8,ip_link_40,1,0,routed,
h_117,H,hg_2,cdn_4,user_7,ip_14,ip_17,30.000,ip_14-ip_19-ip_7-ip_25-ip_24-ip_20-ip_31-ip_15-ip_6-ip_17,ip_link_14-ip_link_24-ip_link_34-ip_link_32-ip_link_27-ip_link_28-ip_link_17-ip_link_18-ip_link_22,9,5,routed,
h_118,H,hg_3,cdn_6,user_20,ip_13,ip_27,27.000,ip_13-ip_26-ip_3-ip_27,ip_link_11-ip_link_36-ip_link_38,3,1,routed,
h_119,H,hg_4,cdn_8,user_28,ip_11,ip_18,15.000,ip_11-ip_5-ip_8-ip_26-ip_13-ip_4-ip_9-ip_2-ip_24-ip_18,ip_link_5-ip_link_43-ip_link_37-ip_link_11-ip_link_12-ip_link_42-ip_link_26-ip_link_25-ip_link_23,9,5,routed,
h_120,H,hg_0,cdn_1,user_21,ip_4,ip_21,19.000,ip_4-ip_13-ip_16-ip_21,ip_link_12-ip_link_10-ip_link_19,3,0,routed,
h_121,H,hg_1,cdn_2,user_21,ip_28,ip_21,15.000,ip_28-ip_4-ip_13-ip_26-ip_21,ip_link_39-ip_link_12-ip_link_11-ip_link_29,4,1,routed,
