demand_id,traffic_type,hypergiant_id,cdn_node_id,src_ip_node_id,end_user_node_id,dst_ip_node_id,demand_gbps
h_107,H,hg_2,cdn_5,ip_4,user_7,ip_17,27
h_108,H,hg_3,cdn_6,ip_13,user_25,ip_9,16
h_109,H,hg_4,cdn_8,ip_11,user_26,ip_4,19
h_110,H,hg_0,cdn_1,ip_4,user_18,ip_31,10
h_111,H,hg_1,cdn_3,ip_29,user_5,ip_11,9
h_112,H,hg_2,cdn_5,ip_4,user_20,ip_27,11
h_113,H,hg_3,cdn_6,ip_13,user_10,ip_13,20
h_114,H,hg_4,cdn_8,ip_11,user_28,ip_18,8
h_115,H,hg_0,cdn_0,ip_14,user_23,ip_1,26
h_116,H,hg_1,cdn_2,ip_28,user_15,ip_8,26
h_117,H,hg_2,cdn_4,ip_14,user_7,ip_17,30
h_118,H,hg_3,cdn_6,ip_13,user_20,ip_27,27
h_119,H,hg_4,cdn_8,ip_11,user_28,ip_18,15
h_120,H,hg_0,cdn_1,ip_4,user_21,ip_21,19
h_121,H,hg_1,cdn_2,ip_28,user_21,ip_21,15
h_122,H,hg_2,cdn_4,ip_14,user_10,ip_13,14
h_123,H,hg_3,cdn_6,ip_13,user_28,ip_18,17
h_124,H,hg_4,cdn_8,ip_11,user_20,ip_27,27
h_125,H,hg_0,cdn_1,ip_4,user_25,ip_9,18
h_126,H,hg_1,cdn_3,ip_29,user_13,ip_17,29
h_127,H,hg_2,cdn_5,ip_4,user_3,ip_6,19
h_128,H,hg_3,cdn_7,ip_28,user_12,ip_1,26
h_129,H,hg_4,cdn_9,ip_1,user_12,ip_1,10
h_130,H,hg_0,cdn_0,ip_14,user_13,ip_17,18
h_131,H,hg_1,cdn_2,ip_28,user_17,ip_23,26
h_132,H,hg_2,cdn_5,ip_4,user_4,ip_2,30
h_133,H,hg_3,cdn_7,ip_28,user_29,ip_29,14
h_134,H,hg_4,cdn_9,ip_1,user_14,ip_31,10
h_135,H,hg_0,cdn_0,ip_14,user_11,ip_23,8
h_136,H,hg_1,cdn_3,ip_29,user_8,ip_6,11
h_137,H,hg_2,cdn_5,ip_4,user_5,ip_11,14
h_138,H,hg_3,cdn_7,ip_28,user_4,ip_2,5
h_139,H,hg_4,cdn_9,ip_1,user_22,ip_13,7
h_140,H,hg_0,cdn_0,ip_14,user_8,ip_6,10
h_141,H,hg_1,cdn_2,ip_28,user_23,ip_1,16
h_142,H,hg_2,cdn_5,ip_4,user_6,ip_19,10
h_143,H,hg_3,cdn_7,ip_28,user_20,ip_27,9
h_144,H,hg_4,cdn_9,ip_1,user_10,ip_13,19
h_145,H,hg_0,cdn_1,ip_4,user_28,ip_18,23
h_146,H,hg_1,cdn_2,ip_28,user_10,ip_13,30
h_147,H,hg_2,cdn_5,ip_4,user_27,ip_23,23
h_148,H,hg_3,cdn_7,ip_28,user_5,ip_11,10
h_149,H,hg_4,cdn_8,ip_11,user_3,ip_6,16
h_150,H,hg_0,cdn_1,ip_4,user_27,ip_23,30
h_151,H,hg_1,cdn_3,ip_29,user_29,ip_29,12
h_152,H,hg_2,cdn_5,ip_4,user_8,ip_6,11
h_153,H,hg_3,cdn_6,ip_13,user_12,ip_1,20
h_154,H,hg_4,cdn_9,ip_1,user_2,ip_1,13
h_155,H,hg_0,cdn_1,ip_4,user_28,ip_18,15
h_156,H,hg_1,cdn_2,ip_28,user_16,ip_29,16
h_157,H,hg_2,cdn_4,ip_14,user_11,ip_23,16
h_158,H,hg_3,cdn_7,ip_28,user_0,ip_19,5
h_159,H,hg_4,cdn_9,ip_1,user_28,ip_18,28
h_160,H,hg_0,cdn_0,ip_14,user_27,ip_23,8
h_161,H,hg_1,cdn_3,ip_29,user_19,ip_4,7
h_162,H,hg_2,cdn_4,ip_14,user_2,ip_1,7
h_163,H,hg_3,cdn_6,ip_13,user_7,ip_17,20
h_164,H,hg_4,cdn_9,ip_1,user_12,ip_1,23
h_165,H,hg_0,cdn_0,ip_14,user_19,ip_4,22
h_166,H,hg_1,cdn_3,ip_29,user_6,ip_19,10
h_167,H,hg_2,cdn_5,ip_4,user_18,ip_31,19
h_168,H,hg_3,cdn_7,ip_28,user_28,ip_18,16
h_169,H,hg_4,cdn_8,ip_11,user_0,ip_19,16
h_170,H,hg_0,cdn_0,ip_14,user_27,ip_23,11
h_171,H,hg_1,cdn_2,ip_28,user_29,ip_29,17
h_172,H,hg_2,cdn_5,ip_4,user_0,ip_19,24
h_173,H,hg_3,cdn_7,ip_28,user_8,ip_6,21
h_174,H,hg_4,cdn_9,ip_1,user_16,ip_29,20
h_175,H,hg_0,cdn_0,ip_14,user_19,ip_4,8
h_176,H,hg_1,cdn_3,ip_29,user_17,ip_23,5
h_177,H,hg_2,cdn_4,ip_14,user_27,ip_23,28
h_178,H,hg_3,cdn_6,ip_13,user_27,ip_23,9
h_179,H,hg_4,cdn_8,ip_11,user_14,ip_31,9
h_180,H,hg_0,cdn_1,ip_4,user_13,ip_17,29
h_181,H,hg_1,cdn_3,ip_29,user_23,ip_1,14
h_182,H,hg_2,cdn_4,ip_14,user_12,ip_1,7
h_183,H,hg_3,cdn_7,ip_28,user_0,ip_19,5
h_184,H,hg_4,cdn_9,ip_1,user_1,ip_7,15
h_185,H,hg_0,cdn_1,ip_4,user_19,ip_4,19
h_186,H,hg_1,cdn_3,ip_29,user_12,ip_1,27
h_187,H,hg_2,cdn_4,ip_14,user_1,ip_7,8
h_188,H,hg_3,cdn_6,ip_13,user_22,ip_13,17
h_189,H,hg_4,cdn_9,ip_1,user_23,ip_1,7
h_190,H,hg_0,cdn_0,ip_14,user_15,ip_8,7
h_191,H,hg_1,cdn_3,ip_29,user_11,ip_23,13
h_192,H,hg_2,cdn_4,ip_14,user_15,ip_8,17
h_193,H,hg_3,cdn_6,ip_13,user_19,ip_4,21
h_194,H,hg_4,cdn_8,ip_11,user_26,ip_4,17
h_195,H,hg_0,cdn_1,ip_4,user_9,ip_7,19
h_196,H,hg_1,cdn_3,ip_29,user_26,ip_4,6
h_197,H,hg_2,cdn_4,ip_14,user_22,ip_13,29
h_198,H,hg_3,cdn_6,ip_13,user_23,ip_1,29
h_199,H,hg_4,cdn_8,ip_11,user_21,ip_21,22
h_200,H,hg_0,cdn_0,ip_14,user_4,ip_2,13
h_201,H,hg_1,cdn_3,ip_29,user_14,ip_31,9
h_202,H,hg_2,cdn_5,ip_4,user_4,ip_2,12
h_203,H,hg_3,cdn_7,ip_28,user_29,ip_29,27
h_204,H,hg_4,cdn_9,ip_1,user_9,ip_7,21
h_205,H,hg_0,cdn_0,ip_14,user_0,ip_19,7
h_206,H,hg_1,cdn_2,ip_28,user_12,ip_1,26
h_207,H,hg_2,cdn_4,ip_14,user_7,ip_17,8
h_208,H,hg_3,cdn_7,ip_28,user_10,ip_13,27
h_209,H,hg_4,cdn_8,ip_11,user_10,ip_13,11
h_210,H,hg_0,cdn_0,ip_14,user_8,ip_6,30
h_211,H,hg_1,cdn_2,ip_28,user_0,ip_19,25
h_212,H,hg_2,cdn_5,ip_4,user_6,ip_19,10
h_213,H,hg_3,cdn_7,ip_28,user_21,ip_21,25
h_214,H,hg_4,cdn_9,ip_1,user_28,ip_18,17
h_215,H,hg_0,cdn_0,ip_14,user_21,ip_21,10
h_216,H,hg_1,cdn_3,ip_29,user_6,ip_19,9
h_217,H,hg_2,cdn_4,ip_14,user_9,ip_7,28
h_218,H,hg_3,cdn_6,ip_13,user_27,ip_23,13
h_219,H,hg_4,cdn_9,ip_1,user_25,ip_9,25
h_220,H,hg_0,cdn_1,ip_4,user_29,ip_29,5
h_221,H,hg_1,cdn_3,ip_29,user_21,ip_21,7
h_222,H,hg_2,cdn_4,ip_14,user_14,ip_31,19
h_223,H,hg_3,cdn_7,ip_28,user_21,ip_21,7
h_224,H,hg_4,cdn_8,ip_11,user_8,ip_6,18
h_225,H,hg_0,cdn_1,ip_4,user_5,ip_11,7
h_226,H,hg_1,cdn_2,ip_28,user_20,ip_27,15
h_227,H,hg_2,cdn_5,ip_4,user_13,ip_17,20
h_228,H,hg_3,cdn_6,ip_13,user_27,ip_23,19
h_229,H,hg_4,cdn_9,ip_1,user_8,ip_6,18
h_230,H,hg_0,cdn_1,ip_4,user_22,ip_13,29
h_231,H,hg_1,cdn_3,ip_29,user_7,ip_17,6
h_232,H,hg_2,cdn_5,ip_4,user_7,ip_17,22
h_233,H,hg_3,cdn_6,ip_13,user_9,ip_7,17
h_234,H,hg_4,cdn_8,ip_11,user_27,ip_23,14
h_235,H,hg_0,cdn_0,ip_14,user_13,ip_17,14
h_236,H,hg_1,cdn_3,ip_29,user_17,ip_23,15
h_237,H,hg_2,cdn_5,ip_4,user_3,ip_6,20
h_238,H,hg_3,cdn_7,ip_28,user_2,ip_1,5
h_239,H,hg_4,cdn_8,ip_11,user_20,ip_27,17
h_240,H,hg_0,cdn_0,ip_14,user_19,ip_4,8
h_241,H,hg_1,cdn_2,ip_28,user_18,ip_31,20
h_242,H,hg_2,cdn_4,ip_14,user_8,ip_6,18
h_243,H,hg_3,cdn_7,ip_28,user_9,ip_7,8
h_244,H,hg_4,cdn_9,ip_1,user_16,ip_29,9
h_245,H,hg_0,cdn_1,ip_4,user_28,ip_18,13
h_246,H,hg_1,cdn_2,ip_28,user_14,ip_31,6
h_247,H,hg_2,cdn_4,ip_14,user_16,ip_29,11
h_248,H,hg_3,cdn_6,ip_13,user_18,ip_31,20
h_249,H,hg_4,cdn_8,ip_11,user_2,ip_1,6
h_250,H,hg_0,cdn_0,ip_14,user_7,ip_17,18
h_251,H,hg_1,cdn_2,ip_28,user_10,ip_13,10
h_252,H,hg_2,cdn_4,ip_14,user_11,ip_23,21
h_253,H,hg_3,cdn_6,ip_13,user_13,ip_17,7
h_254,H,hg_4,cdn_9,ip_1,user_2,ip_1,22
h_255,H,hg_0,cdn_0,ip_14,user_19,ip_4,21
h_256,H,hg_1,cdn_3,ip_29,user_4,ip_2,30
h_257,H,hg_2,cdn_5,ip_4,user_7,ip_17,5
h_258,H,hg_3,cdn_6,ip_13,user_10,ip_13,30
h_259,H,hg_4,cdn_9,ip_1,user_11,ip_23,25
h_260,H,hg_0,cdn_0,ip_14,user_8,ip_6,10
h_261,H,hg_1,cdn_3,ip_29,user_15,ip_8,14
h_262,H,hg_2,cdn_5,ip_4,user_17,ip_23,9
h_263,H,hg_3,cdn_7,ip_28,user_2,ip_1,24
h_264,H,hg_4,cdn_9,ip_1,user_12,ip_1,15
h_265,H,hg_0,cdn_0,ip_14,user_16,ip_29,6
h_266,H,hg_1,cdn_2,ip_28,user_6,ip_19,29
h_267,H,hg_2,cdn_4,ip_14,user_7,ip_17,20
h_268,H,hg_3,cdn_6,ip_13,user_8,ip_6,26
h_269,H,hg_4,cdn_9,ip_1,user_8,ip_6,22
