request_id,traffic_type,arrival_time,duration,end_time,bandwidth_gbps,hypergiant_id,cdn_node_id,end_user_node_id,src_ip_node_id,dst_ip_node_id,src_optical_node_id,dst_optical_node_id,shortest_hops
h_dyn_13,H,1.418,6.200,7.617,11.273,hg_0,cdn_0,user_18,ip_14,ip_31,opt_14,opt_31,2
bg_dyn_7,BG,1.430,10.766,12.196,8.645,,,,,,opt_4,opt_13,1
bg_dyn_8,BG,1.508,7.459,8.967,10.637,,,,,,opt_12,opt_16,1
h_dyn_14,H,1.522,6.023,7.545,11.664,hg_1,cdn_3,user_9,ip_29,ip_7,opt_29,opt_7,2
bg_dyn_9,BG,1.677,11.249,12.926,6.224,,,,,,opt_31,opt_1,2
h_dyn_15,H,1.781,10.297,12.078,14.590,hg_2,cdn_4,user_10,ip_14,ip_13,opt_14,opt_13,1
h_dyn_16,H,1.894,14.500,16.394,5.253,hg_4,cdn_9,user_9,ip_1,ip_7,opt_1,opt_7,2
h_dyn_17,H,2.033,5.662,7.695,10.103,hg_1,cdn_3,user_26,ip_29,ip_4,opt_29,opt_4,2
h_dyn_18,H,2.078,7.826,9.904,12.028,hg_0,cdn_1,user_20,ip_4,ip_27,opt_4,opt_27,1
h_dyn_19,H,2.140,9.325,11.465,5.225,hg_4,cdn_8,user_2,ip_11,ip_1,opt_11,opt_1,1
h_dyn_20,H,2.219,7.194,9.412,17.074,hg_1,cdn_3,user_18,ip_29,ip_31,opt_29,opt_31,1
bg_dyn_10,BG,2.407,10.333,12.740,8.385,,,,,,opt_14,opt_30,1
h_dyn_21,H,2.489,7.919,10.408,4.322,hg_0,cdn_1,user_11,ip_4,ip_23,opt_4,opt_23,1
bg_dyn_11,BG,2.546,11.223,13.768,9.699,,,,,,opt_18,opt_16,1
h_dyn_22,H,2.564,10.064,12.629,10.965,hg_4,cdn_8,user_15,ip_11,ip_8,opt_11,opt_8,2
bg_dyn_12,BG,2.607,12.883,15.491,7.301,,,,,,opt_12,opt_26,1
bg_dyn_13,BG,2.640,10.600,13.241,8.394,,,,,,opt_31,opt_23,1
bg_dyn_14,BG,2.691,13.264,15.956,8.062,,,,,,opt_16,opt_31,1
bg_dyn_15,BG,2.699,8.190,10.889,9.273,,,,,,opt_27,opt_29,1
h_dyn_23,H,2.784,10.116,12.900,15.156,hg_4,cdn_8,user_9,ip_11,ip_7,opt_11,opt_7,1
h_dyn_24,H,2.925,14.410,17.335,9.367,hg_0,cdn_0,user_11,ip_14,ip_23,opt_14,opt_23,2
h_dyn_25,H,2.963,7.245,10.208,10.999,hg_4,cdn_8,user_13,ip_11,ip_17,opt_11,opt_17,1
h_dyn_26,H,2.995,7.785,10.780,4.652,hg_2,cdn_4,user_0,ip_14,ip_19,opt_14,opt_19,2
h_dyn_27,H,3.063,10.590,13.653,7.859,hg_1,cdn_3,user_26,ip_29,ip_4,opt_29,opt_4,2
h_dyn_28,H,3.113,7.313,10.426,4.816,hg_1,cdn_2,user_13,ip_28,ip_17,opt_28,opt_17,2
h_dyn_29,H,3.172,5.016,8.188,8.360,hg_1,cdn_2,user_16,ip_28,ip_29,opt_28,opt_29,2
h_dyn_30,H,3.239,11.427,14.666,4.937,hg_1,cdn_3,user_8,ip_29,ip_6,opt_29,opt_6,1
h_dyn_31,H,3.303,7.592,10.895,13.515,hg_4,cdn_9,user_1,ip_1,ip_7,opt_1,opt_7,2
bg_dyn_16,BG,3.399,6.817,10.216,12.430,,,,,,opt_17,opt_21,1
h_dyn_32,H,3.408,8.973,12.381,5.834,hg_3,cdn_6,user_2,ip_13,ip_1,opt_13,opt_1,3
bg_dyn_17,BG,3.453,5.983,9.435,8.743,,,,,,opt_31,opt_27,2
h_dyn_33,H,3.774,6.816,10.590,15.469,hg_3,cdn_7,user_9,ip_28,ip_7,opt_28,opt_7,1
h_dyn_34,H,3.812,7.242,11.053,8.448,hg_0,cdn_1,user_10,ip_4,ip_13,opt_4,opt_13,1
bg_dyn_18,BG,3.875,7.993,11.868,9.939,,,,,,opt_14,opt_18,1
bg_dyn_19,BG,3.891,7.614,11.505,16.066,,,,,,opt_14,opt_4,1
h_dyn_35,H,3.901,14.593,18.494,14.584,hg_2,cdn_5,user_22,ip_4,ip_13,opt_4,opt_13,1
bg_dyn_20,BG,3.945,9.614,13.559,8.257,,,,,,opt_3,opt_16,1
h_dyn_36,H,4.115,5.182,9.297,6.667,hg_2,cdn_4,user_15,ip_14,ip_8,opt_14,opt_8,1
h_dyn_37,H,4.166,12.993,17.159,13.055,hg_2,cdn_4,user_28,ip_14,ip_18,opt_14,opt_18,1
bg_dyn_21,BG,4.314,8.229,12.543,15.444,,,,,,opt_8,opt_18,1
bg_dyn_22,BG,4.384,7.661,12.044,7.288,,,,,,opt_8,opt_14,1
h_dyn_38,H,4.394,5.892,10.286,7.442,hg_2,cdn_5,user_29,ip_4,ip_29,opt_4,opt_29,2
bg_dyn_23,BG,4.449,8.303,12.751,12.306,,,,,,opt_11,opt_18,2
bg_dyn_24,BG,4.565,7.322,11.887,9.214,,,,,,opt_28,opt_25,1
h_dyn_39,H,4.681,5.377,10.058,12.465,hg_2,cdn_5,user_29,ip_4,ip_29,opt_4,opt_29,2
bg_dyn_25,BG,4.687,8.056,12.743,11.003,,,,,,opt_3,opt_14,1
bg_dyn_26,BG,4.913,12.365,17.278,11.923,,,,,,opt_8,opt_17,1
bg_dyn_27,BG,5.230,5.026,10.256,6.516,,,,,,opt_5,opt_25,1
bg_dyn_28,BG,5.254,13.657,18.911,5.392,,,,,,opt_25,opt_28,1
h_dyn_40,H,5.485,8.020,13.505,12.844,hg_4,cdn_9,user_0,ip_1,ip_19,opt_1,opt_19,2
h_dyn_41,H,5.678,8.701,14.378,9.699,hg_4,cdn_8,user_7,ip_11,ip_17,opt_11,opt_17,1
h_dyn_42,H,5.685,5.020,10.705,13.119,hg_2,cdn_4,user_19,ip_14,ip_4,opt_14,opt_4,1
h_dyn_43,H,5.696,10.839,16.535,9.124,hg_2,cdn_4,user_8,ip_14,ip_6,opt_14,opt_6,1
h_dyn_44,H,5.833,6.895,12.728,11.141,hg_2,cdn_5,user_28,ip_4,ip_18,opt_4,opt_18,1
h_dyn_45,H,5.858,8.534,14.392,9.799,hg_2,cdn_5,user_18,ip_4,ip_31,opt_4,opt_31,2
h_dyn_46,H,5.908,8.051,13.959,7.203,hg_1,cdn_3,user_8,ip_29,ip_6,opt_29,opt_6,1
h_dyn_47,H,5.933,7.128,13.061,8.560,hg_4,cdn_8,user_11,ip_11,ip_23,opt_11,opt_23,2
h_dyn_48,H,5.983,7.079,13.062,11.828,hg_0,cdn_0,user_0,ip_14,ip_19,opt_14,opt_19,2
h_dyn_49,H,6.041,9.875,15.917,10.367,hg_1,cdn_2,user_9,ip_28,ip_7,opt_28,opt_7,1
h_dyn_50,H,6.085,9.845,15.929,10.912,hg_1,cdn_3,user_18,ip_29,ip_31,opt_29,opt_31,1
bg_dyn_29,BG,6.154,10.661,16.814,14.733,,,,,,opt_29,opt_14,2
h_dyn_51,H,6.262,5.337,11.599,13.626,hg_0,cdn_0,user_19,ip_14,ip_4,opt_14,opt_4,1
h_dyn_52,H,6.285,6.798,13.083,7.903,hg_0,cdn_0,user_29,ip_14,ip_29,opt_14,opt_29,2
h_dyn_53,H,6.351,10.414,16.765,13.115,hg_4,cdn_9,user_16,ip_1,ip_29,opt_1,opt_29,2
h_dyn_54,H,6.386,9.604,15.990,11.471,hg_1,cdn_2,user_10,ip_28,ip_13,opt_28,opt_13,3
h_dyn_55,H,6.663,12.236,18.899,10.969,hg_1,cdn_3,user_0,ip_29,ip_19,opt_29,opt_19,2
h_dyn_56,H,6.665,6.928,13.593,7.080,hg_4,cdn_8,user_9,ip_11,ip_7,opt_11,opt_7,1
h_dyn_57,H,6.731,6.981,13.712,11.035,hg_0,cdn_0,user_22,ip_14,ip_13,opt_14,opt_13,1
h_dyn_58,H,6.812,11.082,17.894,8.385,hg_2,cdn_4,user_21,ip_14,ip_21,opt_14,opt_21,2
bg_dyn_30,BG,6.878,9.186,16.064,15.267,,,,,,opt_8,opt_14,1
h_dyn_59,H,6.887,9.274,16.161,12.686,hg_4,cdn_8,user_19,ip_11,ip_4,opt_11,opt_4,2
h_dyn_60,H,7.017,6.695,13.713,13.228,hg_1,cdn_3,user_18,ip_29,ip_31,opt_29,opt_31,1
h_dyn_61,H,7.071,10.237,17.307,10.606,hg_4,cdn_8,user_17,ip_11,ip_23,opt_11,opt_23,2
h_dyn_62,H,7.093,7.105,14.198,6.919,hg_4,cdn_9,user_5,ip_1,ip_11,opt_1,opt_11,1
bg_dyn_31,BG,7.116,13.849,20.966,12.281,,,,,,opt_20,opt_11,1
h_dyn_63,H,7.208,5.227,12.435,10.381,hg_0,cdn_0,user_3,ip_14,ip_6,opt_14,opt_6,1
h_dyn_64,H,7.209,5.699,12.908,13.821,hg_0,cdn_0,user_9,ip_14,ip_7,opt_14,opt_7,1
h_dyn_65,H,7.220,10.790,18.010,12.019,hg_2,cdn_5,user_14,ip_4,ip_31,opt_4,opt_31,2
h_dyn_66,H,7.280,6.317,13.596,5.953,hg_2,cdn_5,user_17,ip_4,ip_23,opt_4,opt_23,1
h_dyn_67,H,7.281,7.678,14.959,4.241,hg_2,cdn_5,user_1,ip_4,ip_7,opt_4,opt_7,2
bg_dyn_32,BG,7.340,13.947,21.287,13.364,,,,,,opt_27,opt_3,1
h_dyn_68,H,7.388,7.286,14.674,13.074,hg_2,cdn_5,user_9,ip_4,ip_7,opt_4,opt_7,2
bg_dyn_33,BG,7.474,5.615,13.090,8.994,,,,,,opt_20,opt_7,1
h_dyn_69,H,7.558,9.049,16.607,6.540,hg_1,cdn_3,user_8,ip_29,ip_6,opt_29,opt_6,1
bg_dyn_34,BG,7.596,12.103,19.699,11.924,,,,,,opt_28,opt_7,1
bg_dyn_35,BG,7.627,7.215,14.843,8.137,,,,,,opt_3,opt_9,1
h_dyn_70,H,7.812,9.935,17.747,15.185,hg_1,cdn_3,user_14,ip_29,ip_31,opt_29,opt_31,1
h_dyn_71,H,7.976,10.448,18.424,7.867,hg_2,cdn_4,user_1,ip_14,ip_7,opt_14,opt_7,1
h_dyn_72,H,8.016,9.420,17.436,11.948,hg_3,cdn_7,user_1,ip_28,ip_7,opt_28,opt_7,1
h_dyn_73,H,8.052,10.418,18.470,13.954,hg_2,cdn_5,user_29,ip_4,ip_29,opt_4,opt_29,2
h_dyn_74,H,8.126,12.260,20.386,4.565,hg_1,cdn_3,user_20,ip_29,ip_27,opt_29,opt_27,1
h_dyn_75,H,8.336,5.108,13.443,9.882,hg_0,cdn_1,user_21,ip_4,ip_21,opt_4,opt_21,2
bg_dyn_36,BG,8.352,13.569,21.921,8.833,,,,,,opt_2,opt_12,1
bg_dyn_37,BG,8.381,11.413,19.794,7.954,,,,,,opt_5,opt_29,1
h_dyn_76,H,8.434,9.146,17.580,7.863,hg_3,cdn_6,user_27,ip_13,ip_23,opt_13,opt_23,2
h_dyn_77,H,8.480,11.190,19.670,9.240,hg_3,cdn_6,user_27,ip_13,ip_23,opt_13,opt_23,2
h_dyn_78,H,8.535,6.973,15.507,9.437,hg_4,cdn_8,user_26,ip_11,ip_4,opt_11,opt_4,2
h_dyn_79,H,8.613,6.689,15.302,12.907,hg_0,cdn_1,user_17,ip_4,ip_23,opt_4,opt_23,1
h_dyn_80,H,8.714,10.611,19.326,7.549,hg_2,cdn_4,user_28,ip_14,ip_18,opt_14,opt_18,1
h_dyn_81,H,8.954,7.435,16.390,8.874,hg_3,cdn_6,user_18,ip_13,ip_31,opt_13,opt_31,2
h_dyn_82,H,8.955,6.607,15.562,10.097,hg_3,cdn_6,user_18,ip_13,ip_31,opt_13,opt_31,2
h_dyn_83,H,9.159,6.369,15.528,7.434,hg_0,cdn_1,user_29,ip_4,ip_29,opt_4,opt_29,2
bg_dyn_38,BG,9.213,8.842,18.055,13.965,,,,,,opt_26,opt_17,1
h_dyn_84,H,9.223,11.337,20.560,4.893,hg_3,cdn_7,user_20,ip_28,ip_27,opt_28,opt_27,2
h_dyn_85,H,9.223,5.936,15.159,9.034,hg_4,cdn_8,user_7,ip_11,ip_17,opt_11,opt_17,1
h_dyn_86,H,9.238,8.646,17.884,8.014,hg_0,cdn_1,user_10,ip_4,ip_13,opt_4,opt_13,1
bg_dyn_39,BG,9.313,12.914,22.227,10.940,,,,,,opt_25,opt_10,1
h_dyn_87,H,9.383,5.494,14.877,8.171,hg_4,cdn_8,user_17,ip_11,ip_23,opt_11,opt_23,2
bg_dyn_40,BG,9.386,14.284,23.670,9.451,,,,,,opt_11,opt_3,1
bg_dyn_41,BG,9.397,7.011,16.408,13.330,,,,,,opt_24,opt_8,2
h_dyn_88,H,9.473,6.591,16.064,13.899,hg_0,cdn_0,user_15,ip_14,ip_8,opt_14,opt_8,1
bg_dyn_42,BG,9.507,12.304,21.811,12.099,,,,,,opt_20,opt_10,1
h_dyn_89,H,9.529,11.855,21.384,6.955,hg_0,cdn_1,user_1,ip_4,ip_7,opt_4,opt_7,2
h_dyn_90,H,9.561,9.095,18.656,10.851,hg_2,cdn_4,user_4,ip_14,ip_2,opt_14,opt_2,1
bg_dyn_43,BG,9.679,9.478,19.157,11.706,,,,,,opt_20,opt_17,1
bg_dyn_44,BG,9.731,5.921,15.652,10.735,,,,,,opt_21,opt_18,1
h_dyn_91,H,9.845,14.622,24.467,6.351,hg_3,cdn_7,user_5,ip_28,ip_11,opt_28,opt_11,1
h_dyn_92,H,9.941,8.550,18.491,12.787,hg_3,cdn_6,user_15,ip_13,ip_8,opt_13,opt_8,2
h_dyn_93,H,10.058,7.125,17.183,10.119,hg_1,cdn_3,user_28,ip_29,ip_18,opt_29,opt_18,2
h_dyn_94,H,10.210,14.254,24.464,10.002,hg_2,cdn_4,user_9,ip_14,ip_7,opt_14,opt_7,1
h_dyn_95,H,10.324,11.448,21.772,15.030,hg_3,cdn_6,user_26,ip_13,ip_4,opt_13,opt_4,1
bg_dyn_45,BG,10.374,5.377,15.751,9.387,,,,,,opt_14,opt_8,1
bg_dyn_46,BG,10.512,11.546,22.059,6.695,,,,,,opt_14,opt_18,1
h_dyn_96,H,10.527,9.524,20.051,9.948,hg_4,cdn_8,user_26,ip_11,ip_4,opt_11,opt_4,2
h_dyn_97,H,10.558,13.601,24.159,8.377,hg_0,cdn_1,user_2,ip_4,ip_1,opt_4,opt_1,3
h_dyn_98,H,10.768,5.168,15.936,10.735,hg_0,cdn_1,user_10,ip_4,ip_13,opt_4,opt_13,1
h_dyn_99,H,10.829,10.725,21.554,11.724,hg_2,cdn_4,user_19,ip_14,ip_4,opt_14,opt_4,1
h_dyn_100,H,10.836,12.283,23.119,11.469,hg_3,cdn_6,user_26,ip_13,ip_4,opt_13,opt_4,1
h_dyn_101,H,10.920,13.910,24.830,5.130,hg_0,cdn_0,user_9,ip_14,ip_7,opt_14,opt_7,1
h_dyn_102,H,10.973,9.218,20.191,12.611,hg_0,cdn_1,user_22,ip_4,ip_13,opt_4,opt_13,1
h_dyn_103,H,11.187,8.515,19.701,11.559,hg_2,cdn_4,user_3,ip_14,ip_6,opt_14,opt_6,1
h_dyn_104,H,11.238,7.104,18.342,7.357,hg_2,cdn_4,user_16,ip_14,ip_29,opt_14,opt_29,2
h_dyn_105,H,11.435,6.356,17.791,10.547,hg_4,cdn_8,user_9,ip_11,ip_7,opt_11,opt_7,1
h_dyn_106,H,11.497,9.022,20.519,10.762,hg_4,cdn_9,user_15,ip_1,ip_8,opt_1,opt_8,2
h_dyn_107,H,11.639,7.212,18.852,9.868,hg_1,cdn_3,user_11,ip_29,ip_23,opt_29,opt_23,1
h_dyn_108,H,11.658,7.154,18.812,9.558,hg_0,cdn_1,user_20,ip_4,ip_27,opt_4,opt_27,1
h_dyn_109,H,11.658,5.971,17.630,10.339,hg_3,cdn_6,user_16,ip_13,ip_29,opt_13,opt_29,2
h_dyn_110,H,11.660,10.284,21.944,15.019,hg_1,cdn_3,user_10,ip_29,ip_13,opt_29,opt_13,2
h_dyn_111,H,11.675,6.749,18.423,8.108,hg_1,cdn_3,user_18,ip_29,ip_31,opt_29,opt_31,1
h_dyn_112,H,11.724,10.707,22.431,12.075,hg_2,cdn_4,user_11,ip_14,ip_23,opt_14,opt_23,2
bg_dyn_47,BG,11.734,14.701,26.435,9.334,,,,,,opt_14,opt_4,1
h_dyn_113,H,11.740,12.637,24.377,6.525,hg_4,cdn_9,user_17,ip_1,ip_23,opt_1,opt_23,3
h_dyn_114,H,11.762,5.660,17.422,8.343,hg_1,cdn_2,user_5,ip_28,ip_11,opt_28,opt_11,1
bg_dyn_48,BG,11.780,11.246,23.026,12.722,,,,,,opt_2,opt_29,1
bg_dyn_49,BG,11.817,6.384,18.201,9.246,,,,,,opt_29,opt_23,1
h_dyn_115,H,11.882,7.214,19.096,16.693,hg_0,cdn_0,user_9,ip_14,ip_7,opt_14,opt_7,1
bg_dyn_50,BG,11.886,12.437,24.324,9.641,,,,,,opt_25,opt_11,1
h_dyn_116,H,11.929,12.505,24.433,14.926,hg_1,cdn_3,user_18,ip_29,ip_31,opt_29,opt_31,1
h_dyn_117,H,12.016,7.712,19.728,15.704,hg_3,cdn_7,user_29,ip_28,ip_29,opt_28,opt_29,2
h_dyn_118,H,12.058,10.948,23.006,8.944,hg_2,cdn_4,user_7,ip_14,ip_17,opt_14,opt_17,2
h_dyn_119,H,12.103,5.959,18.062,11.714,hg_4,cdn_8,user_6,ip_11,ip_19,opt_11,opt_19,2
h_dyn_120,H,12.105,10.971,23.076,10.507,hg_1,cdn_3,user_27,ip_29,ip_23,opt_29,opt_23,1
h_dyn_121,H,12.377,11.141,23.518,8.236,hg_0,cdn_0,user_8,ip_14,ip_6,opt_14,opt_6,1
h_dyn_122,H,12.554,5.817,18.370,11.936,hg_4,cdn_8,user_19,ip_11,ip_4,opt_11,opt_4,2
bg_dyn_51,BG,12.556,9.248,21.804,8.318,,,,,,opt_2,opt_20,3
h_dyn_123,H,12.722,5.232,17.955,14.679,hg_2,cdn_4,user_1,ip_14,ip_7,opt_14,opt_7,1
h_dyn_124,H,12.915,6.298,19.213,13.609,hg_2,cdn_4,user_19,ip_14,ip_4,opt_14,opt_4,1
h_dyn_125,H,12.958,10.263,23.221,13.307,hg_0,cdn_0,user_26,ip_14,ip_4,opt_14,opt_4,1
h_dyn_126,H,12.968,8.952,21.920,11.685,hg_3,cdn_7,user_5,ip_28,ip_11,opt_28,opt_11,1
h_dyn_127,H,13.062,13.884,26.946,10.727,hg_2,cdn_4,user_15,ip_14,ip_8,opt_14,opt_8,1
h_dyn_128,H,13.274,13.495,26.769,11.050,hg_2,cdn_4,user_3,ip_14,ip_6,opt_14,opt_6,1
h_dyn_129,H,13.330,12.936,26.266,11.978,hg_0,cdn_0,user_19,ip_14,ip_4,opt_14,opt_4,1
h_dyn_130,H,13.440,9.787,23.227,2.235,hg_3,cdn_6,user_7,ip_13,ip_17,opt_13,opt_17,3
h_dyn_131,H,13.510,14.540,28.049,11.930,hg_0,cdn_1,user_27,ip_4,ip_23,opt_4,opt_23,1
h_dyn_132,H,13.593,5.918,19.511,14.069,hg_2,cdn_4,user_24,ip_14,ip_6,opt_14,opt_6,1
h_dyn_133,H,13.775,12.386,26.161,13.074,hg_3,cdn_6,user_16,ip_13,ip_29,opt_13,opt_29,2
h_dyn_134,H,13.990,5.036,19.026,10.063,hg_0,cdn_0,user_9,ip_14,ip_7,opt_14,opt_7,1
h_dyn_135,H,14.061,8.037,22.098,13.508,hg_2,cdn_4,user_10,ip_14,ip_13,opt_14,opt_13,1
bg_dyn_52,BG,14.127,10.459,24.586,7.992,,,,,,opt_1,opt_29,2
h_dyn_136,H,14.127,9.208,23.335,11.201,hg_2,cdn_4,user_21,ip_14,ip_21,opt_14,opt_21,2
bg_dyn_53,BG,14.326,5.009,19.336,12.341,,,,,,opt_9,opt_19,1
h_dyn_137,H,14.361,7.914,22.275,4.932,hg_1,cdn_2,user_7,ip_28,ip_17,opt_28,opt_17,2
bg_dyn_54,BG,14.386,6.509,20.895,11.928,,,,,,opt_20,opt_7,1
h_dyn_138,H,14.419,7.361,21.780,8.249,hg_2,cdn_5,user_10,ip_4,ip_13,opt_4,opt_13,1
bg_dyn_55,BG,14.589,11.603,26.192,8.065,,,,,,opt_4,opt_7,2
h_dyn_139,H,14.834,13.311,28.145,10.627,hg_1,cdn_3,user_6,ip_29,ip_19,opt_29,opt_19,2
h_dyn_140,H,14.836,6.897,21.733,14.338,hg_3,cdn_6,user_26,ip_13,ip_4,opt_13,opt_4,1
h_dyn_141,H,14.851,6.375,21.227,13.274,hg_2,cdn_4,user_27,ip_14,ip_23,opt_14,opt_23,2
h_dyn_142,H,14.904,5.097,20.001,14.654,hg_2,cdn_5,user_10,ip_4,ip_13,opt_4,opt_13,1
h_dyn_143,H,15.077,7.029,22.106,13.799,hg_0,cdn_0,user_3,ip_14,ip_6,opt_14,opt_6,1
h_dyn_144,H,15.098,9.483,24.581,7.539,hg_2,cdn_4,user_29,ip_14,ip_29,opt_14,opt_29,2
h_dyn_145,H,15.106,6.972,22.079,7.723,hg_1,cdn_3,user_26,ip_29,ip_4,opt_29,opt_4,2
h_dyn_146,H,15.371,10.703,26.075,5.599,hg_2,cdn_4,user_16,ip_14,ip_29,opt_14,opt_29,2
h_dyn_147,H,15.397,7.731,23.128,7.002,hg_0,cdn_0,user_15,ip_14,ip_8,opt_14,opt_8,1
h_dyn_148,H,15.506,13.671,29.177,10.872,hg_2,cdn_4,user_28,ip_14,ip_18,opt_14,opt_18,1
h_dyn_149,H,15.527,12.073,27.600,8.234,hg_0,cdn_0,user_6,ip_14,ip_19,opt_14,opt_19,2
bg_dyn_56,BG,15.692,10.597,26.289,12.944,,,,,,opt_27,opt_6,2
bg_dyn_57,BG,15.956,10.833,26.789,10.682,,,,,,opt_13,opt_14,1
h_dyn_150,H,16.026,5.857,21.883,10.498,hg_1,cdn_3,user_27,ip_29,ip_23,opt_29,opt_23,1
h_dyn_151,H,16.241,5.573,21.814,5.750,hg_4,cdn_9,user_25,ip_1,ip_9,opt_1,opt_9,2
h_dyn_152,H,16.379,14.728,31.107,14.994,hg_1,cdn_3,user_2,ip_29,ip_1,opt_29,opt_1,2
bg_dyn_58,BG,16.527,6.265,22.792,13.152,,,,,,opt_14,opt_1,2
h_dyn_153,H,16.538,6.623,23.160,12.778,hg_1,cdn_3,user_18,ip_29,ip_31,opt_29,opt_31,1
h_dyn_154,H,16.549,14.653,31.201,8.613,hg_3,cdn_6,user_20,ip_13,ip_27,opt_13,opt_27,1
h_dyn_155,H,16.570,7.473,24.044,14.521,hg_0,cdn_0,user_6,ip_14,ip_19,opt_14,opt_19,2
h_dyn_156,H,16.590,6.946,23.537,8.821,hg_4,cdn_8,user_9,ip_11,ip_7,opt_11,opt_7,1
bg_dyn_59,BG,16.598,10.549,27.147,10.744,,,,,,opt_3,opt_18,1
bg_dyn_60,BG,16.602,6.133,22.735,2.520,,,,,,opt_24,opt_5,1
h_dyn_157,H,16.610,5.759,22.369,6.843,hg_0,cdn_0,user_22,ip_14,ip_13,opt_14,opt_13,1
h_dyn_158,H,16.633,13.892,30.525,8.696,hg_4,cdn_8,user_1,ip_11,ip_7,opt_11,opt_7,1
bg_dyn_61,BG,16.646,11.670,28.316,11.664,,,,,,opt_0,opt_13,1
h_dyn_159,H,16.663,10.861,27.523,4.886,hg_1,cdn_3,user_15,ip_29,ip_8,opt_29,opt_8,2
bg_dyn_62,BG,16.793,11.552,28.345,9.834,,,,,,opt_26,opt_17,1
h_dyn_160,H,16.805,5.739,22.544,7.983,hg_1,cdn_2,user_13,ip_28,ip_17,opt_28,opt_17,2
h_dyn_161,H,16.892,7.827,24.718,13.217,hg_4,cdn_8,user_21,ip_11,ip_21,opt_11,opt_21,2
h_dyn_162,H,16.914,10.407,27.321,12.697,hg_0,cdn_0,user_19,ip_14,ip_4,opt_14,opt_4,1
h_dyn_163,H,16.930,5.398,22.328,11.739,hg_1,cdn_3,user_3,ip_29,ip_6,opt_29,opt_6,1
h_dyn_164,H,17.019,11.820,28.839,6.493,hg_2,cdn_5,user_20,ip_4,ip_27,opt_4,opt_27,1
bg_dyn_63,BG,17.041,9.828,26.868,7.778,,,,,,opt_16,opt_30,1
bg_dyn_64,BG,17.110,14.075,31.185,8.669,,,,,,opt_22,opt_14,2
h_dyn_165,H,17.125,14.645,31.770,6.744,hg_1,cdn_2,user_1,ip_28,ip_7,opt_28,opt_7,1
h_dyn_166,H,17.220,10.037,27.258,10.526,hg_4,cdn_9,user_21,ip_1,ip_21,opt_1,opt_21,1
bg_dyn_65,BG,17.278,7.318,24.596,10.558,,,,,,opt_24,opt_10,1
h_dyn_167,H,17.445,6.605,24.050,6.453,hg_2,cdn_4,user_29,ip_14,ip_29,opt_14,opt_29,2
h_dyn_168,H,17.559,9.282,26.841,13.846,hg_1,cdn_3,user_19,ip_29,ip_4,opt_29,opt_4,2
h_dyn_169,H,17.610,7.765,25.375,4.228,hg_1,cdn_2,user_9,ip_28,ip_7,opt_28,opt_7,1
h_dyn_170,H,17.647,10.126,27.773,10.148,hg_2,cdn_4,user_2,ip_14,ip_1,opt_14,opt_1,2
