traffic_type,src_optical_node_id,dst_optical_node_id,shortest_hops,weight,probability
BG,opt_2,opt_15,2,8.000000,0.00014225
BG,opt_2,opt_16,2,22.000000,0.00039119
BG,opt_2,opt_17,2,20.000000,0.00035563
BG,opt_2,opt_18,2,20.000000,0.00035563
BG,opt_2,opt_19,2,18.000000,0.00032007
BG,opt_2,opt_20,3,9.777778,0.00017386
BG,opt_2,opt_21,2,20.000000,0.00035563
BG,opt_2,opt_22,1,80.000000,0.00142251
BG,opt_2,opt_23,1,128.000000,0.00227602
BG,opt_2,opt_24,3,9.777778,0.00017386
BG,opt_2,opt_25,2,26.000000,0.00046232
BG,opt_2,opt_26,2,14.000000,0.00024894
BG,opt_2,opt_27,2,20.000000,0.00035563
BG,opt_2,opt_28,3,6.222222,0.00011064
BG,opt_2,opt_29,1,176.000000,0.00312953
BG,opt_2,opt_30,2,12.000000,0.00021338
BG,opt_2,opt_31,2,12.000000,0.00021338
BG,opt_3,opt_0,2,17.500000,0.00031117
BG,opt_3,opt_1,2,15.000000,0.00026672
BG,opt_3,opt_2,1,160.000000,0.00284503
BG,opt_3,opt_4,1,180.000000,0.00320065
BG,opt_3,opt_5,2,17.500000,0.00031117
BG,opt_3,opt_6,2,17.500000,0.00031117
BG,opt_3,opt_7,2,27.500000,0.00048899
BG,opt_3,opt_8,2,15.000000,0.00026672
BG,opt_3,opt_9,1,200.000000,0.00355628
BG,opt_3,opt_10,2,22.500000,0.00040008
BG,opt_3,opt_11,1,220.000000,0.00391191
BG,opt_3,opt_12,2,27.500000,0.00048899
BG,opt_3,opt_13,2,22.500000,0.00040008
BG,opt_3,opt_14,1,240.000000,0.00426754
BG,opt_3,opt_15,2,10.000000,0.00017781
BG,opt_3,opt_16,1,220.000000,0.00391191
BG,opt_3,opt_17,2,25.000000,0.00044454
BG,opt_3,opt_18,1,200.000000,0.00355628
BG,opt_3,opt_19,2,22.500000,0.00040008
BG,opt_3,opt_20,2,27.500000,0.00048899
BG,opt_3,opt_21,2,25.000000,0.00044454
BG,opt_3,opt_22,2,12.500000,0.00022227
BG,opt_3,opt_23,2,20.000000,0.00035563
BG,opt_3,opt_24,2,27.500000,0.00048899
BG,opt_3,opt_25,2,32.500000,0.00057790
BG,opt_3,opt_26,2,17.500000,0.00031117
BG,opt_3,opt_27,1,200.000000,0.00355628
BG,opt_3,opt_28,2,17.500000,0.00031117
BG,opt_3,opt_29,1,220.000000,0.00391191
BG,opt_3,opt_30,2,15.000000,0.00026672
BG,opt_3,opt_31,2,15.000000,0.00026672
BG,opt_4,opt_0,2,15.750000,0.00028006
BG,opt_4,opt_1,3,6.000000,0.00010669
BG,opt_4,opt_2,2,18.000000,0.00032007
BG,opt_4,opt_3,1,180.000000,0.00320065
BG,opt_4,opt_5,3,7.000000,0.00012447
BG,opt_4,opt_6,2,15.750000,0.00028006
BG,opt_4,opt_7,2,24.750000,0.00044009
BG,opt_4,opt_8,2,13.500000,0.00024005
BG,opt_4,opt_9,2,22.500000,0.00040008
BG,opt_4,opt_10,3,9.000000,0.00016003
BG,opt_4,opt_11,2,24.750000,0.00044009
BG,opt_4,opt_12,2,24.750000,0.00044009
BG,opt_4,opt_13,1,162.000000,0.00288059
BG,opt_4,opt_14,1,216.000000,0.00384079
BG,opt_4,opt_15,3,4.000000,0.00007113
BG,opt_4,opt_16,1,198.000000,0.00352072
BG,opt_4,opt_17,3,10.000000,0.00017781
BG,opt_4,opt_18,1,180.000000,0.00320065
BG,opt_4,opt_19,3,9.000000,0.00016003
BG,opt_4,opt_20,3,11.000000,0.00019560
BG,opt_4,opt_21,2,22.500000,0.00040008
BG,opt_4,opt_22,2,11.250000,0.00020004
BG,opt_4,opt_23,1,144.000000,0.00256052
BG,opt_4,opt_24,3,11.000000,0.00019560
BG,opt_4,opt_25,3,13.000000,0.00023116
BG,opt_4,opt_26,3,7.000000,0.00012447
BG,opt_4,opt_27,1,180.000000,0.00320065
BG,opt_4,opt_28,3,7.000000,0.00012447
BG,opt_4,opt_29,2,24.750000,0.00044009
BG,opt_4,opt_30,1,108.000000,0.00192039
BG,opt_4,opt_31,2,13.500000,0.00024005
BG,opt_5,opt_0,2,12.250000,0.00021782
BG,opt_5,opt_1,2,10.500000,0.00018670
BG,opt_5,opt_2,2,14.000000,0.00024894
BG,opt_5,opt_3,2,17.500000,0.00031117
BG,opt_5,opt_4,3,7.000000,0.00012447
BG,opt_5,opt_6,2,12.250000,0.00021782
BG,opt_5,opt_7,1,154.000000,0.00273834
BG,opt_5,opt_8,3,4.666667,0.00008298
BG,opt_5,opt_9,2,17.500000,0.00031117
BG,opt_5,opt_10,2,15.750000,0.00028006
BG,opt_5,opt_11,2,19.250000,0.00034229
BG,opt_5,opt_12,2,19.250000,0.00034229
BG,opt_5,opt_13,3,7.000000,0.00012447
BG,opt_5,opt_14,2,21.000000,0.00037341
BG,opt_5,opt_15,2,7.000000,0.00012447
BG,opt_5,opt_16,3,8.555556,0.00015213
BG,opt_5,opt_17,2,17.500000,0.00031117
BG,opt_5,opt_18,3,7.777778,0.00013830
BG,opt_5,opt_19,2,15.750000,0.00028006
BG,opt_5,opt_20,1,154.000000,0.00273834
BG,opt_5,opt_21,2,17.500000,0.00031117
BG,opt_5,opt_22,2,8.750000,0.00015559
BG,opt_5,opt_23,2,14.000000,0.00024894
BG,opt_5,opt_24,1,154.000000,0.00273834
BG,opt_5,opt_25,1,182.000000,0.00323622
BG,opt_5,opt_26,3,5.444444,0.00009681
BG,opt_5,opt_27,2,17.500000,0.00031117
BG,opt_5,opt_28,1,98.000000,0.00174258
BG,opt_5,opt_29,1,154.000000,0.00273834
BG,opt_5,opt_30,3,4.666667,0.00008298
BG,opt_5,opt_31,2,10.500000,0.00018670
BG,opt_6,opt_0,2,12.250000,0.00021782
BG,opt_6,opt_1,1,84.000000,0.00149364
BG,opt_6,opt_2,2,14.000000,0.00024894
BG,opt_6,opt_3,2,17.500000,0.00031117
BG,opt_6,opt_4,2,15.750000,0.00028006
BG,opt_6,opt_5,2,12.250000,0.00021782
BG,opt_6,opt_7,2,19.250000,0.00034229
BG,opt_6,opt_8,1,84.000000,0.00149364
BG,opt_6,opt_9,3,7.777778,0.00013830
BG,opt_6,opt_10,3,7.000000,0.00012447
BG,opt_6,opt_11,2,19.250000,0.00034229
BG,opt_6,opt_12,2,19.250000,0.00034229
BG,opt_6,opt_13,2,15.750000,0.00028006
BG,opt_6,opt_14,1,168.000000,0.00298728
BG,opt_6,opt_15,1,56.000000,0.00099576
BG,opt_6,opt_16,2,19.250000,0.00034229
BG,opt_6,opt_17,2,17.500000,0.00031117
BG,opt_6,opt_18,2,17.500000,0.00031117
BG,opt_6,opt_19,3,7.000000,0.00012447
BG,opt_6,opt_20,3,8.555556,0.00015213
BG,opt_6,opt_21,2,17.500000,0.00031117
BG,opt_6,opt_22,3,3.888889,0.00006915
BG,opt_6,opt_23,2,14.000000,0.00024894
BG,opt_6,opt_24,3,8.555556,0.00015213
BG,opt_6,opt_25,2,22.750000,0.00040453
BG,opt_6,opt_26,2,12.250000,0.00021782
BG,opt_6,opt_27,2,17.500000,0.00031117
BG,opt_6,opt_28,3,5.444444,0.00009681
BG,opt_6,opt_29,1,154.000000,0.00273834
BG,opt_6,opt_30,2,10.500000,0.00018670
BG,opt_6,opt_31,1,84.000000,0.00149364
BG,opt_7,opt_0,2,19.250000,0.00034229
BG,opt_7,opt_1,2,16.500000,0.00029339
BG,opt_7,opt_2,2,22.000000,0.00039119
BG,opt_7,opt_3,2,27.500000,0.00048899
BG,opt_7,opt_4,2,24.750000,0.00044009
BG,opt_7,opt_5,1,154.000000,0.00273834
BG,opt_7,opt_6,2,19.250000,0.00034229
BG,opt_7,opt_8,2,16.500000,0.00029339
BG,opt_7,opt_9,2,27.500000,0.00048899
BG,opt_7,opt_10,1,198.000000,0.00352072
BG,opt_7,opt_11,1,242.000000,0.00430310
BG,opt_7,opt_12,2,30.250000,0.00053789
BG,opt_7,opt_13,2,24.750000,0.00044009
BG,opt_7,opt_14,1,264.000000,0.00469429
BG,opt_7,opt_15,3,4.888889,0.00008693
BG,opt_7,opt_16,2,30.250000,0.00053789
BG,opt_7,opt_17,2,27.500000,0.00048899
BG,opt_7,opt_18,2,27.500000,0.00048899
BG,opt_7,opt_19,1,198.000000,0.00352072
BG,opt_7,opt_20,1,242.000000,0.00430310
BG,opt_7,opt_21,2,27.500000,0.00048899
BG,opt_7,opt_22,2,13.750000,0.00024449
BG,opt_7,opt_23,2,22.000000,0.00039119
BG,opt_7,opt_24,1,242.000000,0.00430310
BG,opt_7,opt_25,1,286.000000,0.00508548
BG,opt_7,opt_26,2,19.250000,0.00034229
BG,opt_7,opt_27,1,220.000000,0.00391191
BG,opt_7,opt_28,1,154.000000,0.00273834
BG,opt_7,opt_29,2,30.250000,0.00053789
BG,opt_7,opt_30,2,16.500000,0.00029339
BG,opt_7,opt_31,3,7.333333,0.00013040
BG,opt_8,opt_0,1,84.000000,0.00149364
BG,opt_8,opt_1,2,9.000000,0.00016003
BG,opt_8,opt_2,2,12.000000,0.00021338
BG,opt_8,opt_3,2,15.000000,0.00026672
BG,opt_8,opt_4,2,13.500000,0.00024005
BG,opt_8,opt_5,3,4.666667,0.00008298
BG,opt_8,opt_6,1,84.000000,0.00149364
BG,opt_8,opt_7,2,16.500000,0.00029339
BG,opt_8,opt_9,2,15.000000,0.00026672
BG,opt_8,opt_10,2,13.500000,0.00024005
BG,opt_8,opt_11,2,16.500000,0.00029339
BG,opt_8,opt_12,3,7.333333,0.00013040
BG,opt_8,opt_13,2,13.500000,0.00024005
BG,opt_8,opt_14,1,144.000000,0.00256052
BG,opt_8,opt_15,2,6.000000,0.00010669
BG,opt_8,opt_16,2,16.500000,0.00029339
BG,opt_8,opt_17,1,120.000000,0.00213377
BG,opt_8,opt_18,1,120.000000,0.00213377
BG,opt_8,opt_19,2,13.500000,0.00024005
BG,opt_8,opt_20,2,16.500000,0.00029339
BG,opt_8,opt_21,2,15.000000,0.00026672
BG,opt_8,opt_22,3,3.333333,0.00005927
BG,opt_8,opt_23,3,5.333333,0.00009483
BG,opt_8,opt_24,2,16.500000,0.00029339
BG,opt_8,opt_25,3,8.666667,0.00015411
BG,opt_8,opt_26,2,10.500000,0.00018670
BG,opt_8,opt_27,3,6.666667,0.00011854
BG,opt_8,opt_28,3,4.666667,0.00008298
BG,opt_8,opt_29,2,16.500000,0.00029339
BG,opt_8,opt_30,2,9.000000,0.00016003
BG,opt_8,opt_31,2,9.000000,0.00016003
BG,opt_9,opt_0,3,7.777778,0.00013830
BG,opt_9,opt_1,2,15.000000,0.00026672
BG,opt_9,opt_2,1,160.000000,0.00284503
BG,opt_9,opt_3,1,200.000000,0.00355628
BG,opt_9,opt_4,2,22.500000,0.00040008
BG,opt_9,opt_5,2,17.500000,0.00031117
BG,opt_9,opt_6,3,7.777778,0.00013830
BG,opt_9,opt_7,2,27.500000,0.00048899
BG,opt_9,opt_8,2,15.000000,0.00026672
BG,opt_9,opt_10,2,22.500000,0.00040008
BG,opt_9,opt_11,2,27.500000,0.00048899
BG,opt_9,opt_12,1,220.000000,0.00391191
BG,opt_9,opt_13,2,22.500000,0.00040008
BG,opt_9,opt_14,2,30.000000,0.00053344
BG,opt_9,opt_15,3,4.444444,0.00007903
BG,opt_9,opt_16,2,27.500000,0.00048899
BG,opt_9,opt_17,1,200.000000,0.00355628
BG,opt_9,opt_18,2,25.000000,0.00044454
BG,opt_9,opt_19,1,180.000000,0.00320065
BG,opt_9,opt_20,2,27.500000,0.00048899
BG,opt_9,opt_21,1,200.000000,0.00355628
BG,opt_9,opt_22,2,12.500000,0.00022227
BG,opt_9,opt_23,2,20.000000,0.00035563
BG,opt_9,opt_24,2,27.500000,0.00048899
BG,opt_9,opt_25,1,260.000000,0.00462317
BG,opt_9,opt_26,1,140.000000,0.00248940
BG,opt_9,opt_27,1,200.000000,0.00355628
BG,opt_9,opt_28,2,17.500000,0.00031117
BG,opt_9,opt_29,2,27.500000,0.00048899
BG,opt_9,opt_30,3,6.666667,0.00011854
BG,opt_9,opt_31,3,6.666667,0.00011854
BG,opt_10,opt_0,2,15.750000,0.00028006
BG,opt_10,opt_1,2,13.500000,0.00024005
BG,opt_10,opt_2,3,8.000000,0.00014225
BG,opt_10,opt_3,2,22.500000,0.00040008
BG,opt_10,opt_4,3,9.000000,0.00016003
BG,opt_10,opt_5,2,15.750000,0.00028006
BG,opt_10,opt_6,3,7.000000,0.00012447
BG,opt_10,opt_7,1,198.000000,0.00352072
BG,opt_10,opt_8,2,13.500000,0.00024005
BG,opt_10,opt_9,2,22.500000,0.00040008
BG,opt_10,opt_11,1,198.000000,0.00352072
BG,opt_10,opt_12,2,24.750000,0.00044009
BG,opt_10,opt_13,3,9.000000,0.00016003
BG,opt_10,opt_14,2,27.000000,0.00048010
BG,opt_10,opt_15,3,4.000000,0.00007113
BG,opt_10,opt_16,3,11.000000,0.00019560
BG,opt_10,opt_17,1,180.000000,0.00320065
BG,opt_10,opt_18,3,10.000000,0.00017781
BG,opt_10,opt_19,1,162.000000,0.00288059
BG,opt_10,opt_20,1,198.000000,0.00352072
BG,opt_10,opt_21,2,22.500000,0.00040008
BG,opt_10,opt_22,2,11.250000,0.00020004
BG,opt_10,opt_23,3,8.000000,0.00014225
BG,opt_10,opt_24,1,198.000000,0.00352072
BG,opt_10,opt_25,1,234.000000,0.00416085
BG,opt_10,opt_26,2,15.750000,0.00028006
BG,opt_10,opt_27,2,22.500000,0.00040008
BG,opt_10,opt_28,1,126.000000,0.00224046
BG,opt_10,opt_29,2,24.750000,0.00044009
BG,opt_10,opt_30,3,6.000000,0.00010669
BG,opt_10,opt_31,3,6.000000,0.00010669
BG,opt_11,opt_0,2,19.250000,0.00034229
BG,opt_11,opt_1,1,132.000000,0.00234715
BG,opt_11,opt_2,2,22.000000,0.00039119
BG,opt_11,opt_3,1,220.000000,0.00391191
BG,opt_11,opt_4,2,24.750000,0.00044009
BG,opt_11,opt_5,2,19.250000,0.00034229
BG,opt_11,opt_6,2,19.250000,0.00034229
BG,opt_11,opt_7,1,242.000000,0.00430310
BG,opt_11,opt_8,2,16.500000,0.00029339
BG,opt_11,opt_9,2,27.500000,0.00048899
BG,opt_11,opt_10,1,198.000000,0.00352072
BG,opt_11,opt_12,3,13.444444,0.00023906
BG,opt_11,opt_13,2,24.750000,0.00044009
BG,opt_11,opt_14,2,33.000000,0.00058679
BG,opt_11,opt_15,3,4.888889,0.00008693
BG,opt_11,opt_16,2,30.250000,0.00053789
BG,opt_11,opt_17,1,220.000000,0.00391191
BG,opt_11,opt_18,2,27.500000,0.00048899
BG,opt_11,opt_19,2,24.750000,0.00044009
BG,opt_11,opt_20,1,242.000000,0.00430310
BG,opt_11,opt_21,2,27.500000,0.00048899
BG,opt_11,opt_22,2,13.750000,0.00024449
BG,opt_11,opt_23,2,22.000000,0.00039119
BG,opt_11,opt_24,1,242.000000,0.00430310
BG,opt_11,opt_25,1,286.000000,0.00508548
BG,opt_11,opt_26,2,19.250000,0.00034229
BG,opt_11,opt_27,1,220.000000,0.00391191
BG,opt_11,opt_28,1,154.000000,0.00273834
BG,opt_11,opt_29,2,30.250000,0.00053789
BG,opt_11,opt_30,3,7.333333,0.00013040
BG,opt_11,opt_31,3,7.333333,0.00013040
BG,opt_12,opt_0,2,19.250000,0.00034229
BG,opt_12,opt_1,2,16.500000,0.00029339
BG,opt_12,opt_2,1,176.000000,0.00312953
BG,opt_12,opt_3,2,27.500000,0.00048899
BG,opt_12,opt_4,2,24.750000,0.00044009
BG,opt_12,opt_5,2,19.250000,0.00034229
BG,opt_12,opt_6,2,19.250000,0.00034229
BG,opt_12,opt_7,2,30.250000,0.00053789
BG,opt_12,opt_8,3,7.333333,0.00013040
BG,opt_12,opt_9,1,220.000000,0.00391191
BG,opt_12,opt_10,2,24.750000,0.00044009
BG,opt_12,opt_11,3,13.444444,0.00023906
BG,opt_12,opt_13,1,198.000000,0.00352072
BG,opt_12,opt_14,2,33.000000,0.00058679
BG,opt_12,opt_15,2,11.000000,0.00019560
BG,opt_12,opt_16,1,242.000000,0.00430310
BG,opt_12,opt_17,2,27.500000,0.00048899
BG,opt_12,opt_18,2,27.500000,0.00048899
BG,opt_12,opt_19,1,198.000000,0.00352072
BG,opt_12,opt_20,2,30.250000,0.00053789
BG,opt_12,opt_21,1,220.000000,0.00391191
BG,opt_12,opt_22,1,110.000000,0.00195596
BG,opt_12,opt_23,1,176.000000,0.00312953
BG,opt_12,opt_24,2,30.250000,0.00053789
BG,opt_12,opt_25,2,35.750000,0.00063569
BG,opt_12,opt_26,1,154.000000,0.00273834
BG,opt_12,opt_27,2,27.500000,0.00048899
BG,opt_12,opt_28,3,8.555556,0.00015213
BG,opt_12,opt_29,1,242.000000,0.00430310
BG,opt_12,opt_30,2,16.500000,0.00029339
BG,opt_12,opt_31,2,16.500000,0.00029339
BG,opt_13,opt_0,1,126.000000,0.00224046
BG,opt_13,opt_1,3,6.000000,0.00010669
BG,opt_13,opt_2,2,18.000000,0.00032007
BG,opt_13,opt_3,2,22.500000,0.00040008
BG,opt_13,opt_4,1,162.000000,0.00288059
BG,opt_13,opt_5,3,7.000000,0.00012447
BG,opt_13,opt_6,2,15.750000,0.00028006
BG,opt_13,opt_7,2,24.750000,0.00044009
BG,opt_13,opt_8,2,13.500000,0.00024005
BG,opt_13,opt_9,2,22.500000,0.00040008
BG,opt_13,opt_10,3,9.000000,0.00016003
BG,opt_13,opt_11,2,24.750000,0.00044009
BG,opt_13,opt_12,1,198.000000,0.00352072
BG,opt_13,opt_14,1,216.000000,0.00384079
BG,opt_13,opt_15,3,4.000000,0.00007113
BG,opt_13,opt_16,1,198.000000,0.00352072
BG,opt_13,opt_17,3,10.000000,0.00017781
BG,opt_13,opt_18,1,180.000000,0.00320065
BG,opt_13,opt_19,2,20.250000,0.00036007
BG,opt_13,opt_20,2,24.750000,0.00044009
BG,opt_13,opt_21,2,22.500000,0.00040008
BG,opt_13,opt_22,2,11.250000,0.00020004
BG,opt_13,opt_23,2,18.000000,0.00032007
BG,opt_13,opt_24,3,11.000000,0.00019560
BG,opt_13,opt_25,3,13.000000,0.00023116
BG,opt_13,opt_26,2,15.750000,0.00028006
BG,opt_13,opt_27,1,180.000000,0.00320065
BG,opt_13,opt_28,3,7.000000,0.00012447
BG,opt_13,opt_29,2,24.750000,0.00044009
BG,opt_13,opt_30,1,108.000000,0.00192039
BG,opt_13,opt_31,2,13.500000,0.00024005
BG,opt_14,opt_0,1,168.000000,0.00298728
BG,opt_14,opt_1,2,18.000000,0.00032007
BG,opt_14,opt_2,1,192.000000,0.00341403
BG,opt_14,opt_3,1,240.000000,0.00426754
BG,opt_14,opt_4,1,216.000000,0.00384079
BG,opt_14,opt_5,2,21.000000,0.00037341
BG,opt_14,opt_6,1,168.000000,0.00298728
BG,opt_14,opt_7,1,264.000000,0.00469429
BG,opt_14,opt_8,1,144.000000,0.00256052
BG,opt_14,opt_9,2,30.000000,0.00053344
BG,opt_14,opt_10,2,27.000000,0.00048010
BG,opt_14,opt_11,2,33.000000,0.00058679
BG,opt_14,opt_12,2,33.000000,0.00058679
BG,opt_14,opt_13,1,216.000000,0.00384079
BG,opt_14,opt_15,2,12.000000,0.00021338
BG,opt_14,opt_16,1,264.000000,0.00469429
BG,opt_14,opt_17,2,30.000000,0.00053344
BG,opt_14,opt_18,1,240.000000,0.00426754
BG,opt_14,opt_19,2,27.000000,0.00048010
BG,opt_14,opt_20,2,33.000000,0.00058679
BG,opt_14,opt_21,2,30.000000,0.00053344
BG,opt_14,opt_22,2,15.000000,0.00026672
BG,opt_14,opt_23,2,24.000000,0.00042675
BG,opt_14,opt_24,2,33.000000,0.00058679
BG,opt_14,opt_25,2,39.000000,0.00069348
BG,opt_14,opt_26,3,9.333333,0.00016596
BG,opt_14,opt_27,2,30.000000,0.00053344
BG,opt_14,opt_28,2,21.000000,0.00037341
BG,opt_14,opt_29,2,33.000000,0.00058679
BG,opt_14,opt_30,1,144.000000,0.00256052
BG,opt_14,opt_31,2,18.000000,0.00032007
BG,opt_15,opt_0,3,3.111111,0.00005532
BG,opt_15,opt_1,2,6.000000,0.00010669
BG,opt_15,opt_2,2,8.000000,0.00014225
BG,opt_15,opt_3,2,10.000000,0.00017781
BG,opt_15,opt_4,3,4.000000,0.00007113
BG,opt_15,opt_5,2,7.000000,0.00012447
BG,opt_15,opt_6,1,56.000000,0.00099576
BG,opt_15,opt_7,3,4.888889,0.00008693
BG,opt_15,opt_8,2,6.000000,0.00010669
BG,opt_15,opt_9,3,4.444444,0.00007903
BG,opt_15,opt_10,3,4.000000,0.00007113
BG,opt_15,opt_11,3,4.888889,0.00008693
BG,opt_15,opt_12,2,11.000000,0.00019560
BG,opt_15,opt_13,3,4.000000,0.00007113
BG,opt_15,opt_14,2,12.000000,0.00021338
BG,opt_15,opt_16,2,11.000000,0.00019560
BG,opt_15,opt_17,3,4.444444,0.00007903
BG,opt_15,opt_18,3,4.444444,0.00007903
BG,opt_15,opt_19,3,4.000000,0.00007113
BG,opt_15,opt_20,3,4.888889,0.00008693
BG,opt_15,opt_21,3,4.444444,0.00007903
BG,opt_15,opt_22,3,2.222222,0.00003951
BG,opt_15,opt_23,2,8.000000,0.00014225
BG,opt_15,opt_24,3,4.888889,0.00008693
BG,opt_15,opt_25,2,13.000000,0.00023116
BG,opt_15,opt_26,3,3.111111,0.00005532
BG,opt_15,opt_27,2,10.000000,0.00017781
BG,opt_15,opt_28,3,3.111111,0.00005532
BG,opt_15,opt_29,1,88.000000,0.00156476
BG,opt_15,opt_30,3,2.666667,0.00004742
BG,opt_15,opt_31,1,48.000000,0.00085351
BG,opt_16,opt_0,1,154.000000,0.00273834
BG,opt_16,opt_1,3,7.333333,0.00013040
BG,opt_16,opt_2,2,22.000000,0.00039119
BG,opt_16,opt_3,1,220.000000,0.00391191
BG,opt_16,opt_4,1,198.000000,0.00352072
BG,opt_16,opt_5,3,8.555556,0.00015213
BG,opt_16,opt_6,2,19.250000,0.00034229
BG,opt_16,opt_7,2,30.250000,0.00053789
BG,opt_16,opt_8,2,16.500000,0.00029339
BG,opt_16,opt_9,2,27.500000,0.00048899
BG,opt_16,opt_10,3,11.000000,0.00019560
BG,opt_16,opt_11,2,30.250000,0.00053789
BG,opt_16,opt_12,1,242.000000,0.00430310
BG,opt_16,opt_13,1,198.000000,0.00352072
BG,opt_16,opt_14,1,264.000000,0.00469429
BG,opt_16,opt_15,2,11.000000,0.00019560
BG,opt_16,opt_17,3,12.222222,0.00021733
BG,opt_16,opt_18,1,220.000000,0.00391191
BG,opt_16,opt_19,2,24.750000,0.00044009
BG,opt_16,opt_20,2,30.250000,0.00053789
BG,opt_16,opt_21,2,27.500000,0.00048899
BG,opt_16,opt_22,2,13.750000,0.00024449
BG,opt_16,opt_23,2,22.000000,0.00039119
BG,opt_16,opt_24,3,13.444444,0.00023906
BG,opt_16,opt_25,3,15.888889,0.00028253
BG,opt_16,opt_26,2,19.250000,0.00034229
BG,opt_16,opt_27,1,220.000000,0.00391191
BG,opt_16,opt_28,3,8.555556,0.00015213
BG,opt_16,opt_29,2,30.250000,0.00053789
BG,opt_16,opt_30,1,132.000000,0.00234715
BG,opt_16,opt_31,1,132.000000,0.00234715
BG,opt_17,opt_0,2,17.500000,0.00031117
BG,opt_17,opt_1,2,15.000000,0.00026672
BG,opt_17,opt_2,2,20.000000,0.00035563
BG,opt_17,opt_3,2,25.000000,0.00044454
BG,opt_17,opt_4,3,10.000000,0.00017781
BG,opt_17,opt_5,2,17.500000,0.00031117
BG,opt_17,opt_6,2,17.500000,0.00031117
BG,opt_17,opt_7,2,27.500000,0.00048899
