request_id,traffic_type,arrival_time,duration,end_time,bandwidth_gbps,src_optical_node_id,dst_optical_node_id,shortest_hops
bg_dyn_85,BG,23.225,8.850,32.075,9.225,opt_10,opt_25,1
bg_dyn_86,BG,23.441,5.250,28.691,13.488,opt_11,opt_8,2
bg_dyn_87,BG,23.695,6.201,29.896,10.830,opt_1,opt_25,1
bg_dyn_88,BG,23.827,10.444,34.271,5.440,opt_11,opt_24,1
bg_dyn_89,BG,23.855,9.057,32.912,7.397,opt_19,opt_7,1
bg_dyn_90,BG,23.863,7.634,31.496,10.033,opt_27,opt_11,1
bg_dyn_91,BG,24.123,6.439,30.562,12.039,opt_29,opt_12,1
bg_dyn_92,BG,24.210,7.464,31.674,10.586,opt_19,opt_11,2
bg_dyn_93,BG,24.400,7.435,31.834,12.946,opt_21,opt_1,1
bg_dyn_94,BG,24.503,6.276,30.778,9.063,opt_12,opt_21,1
bg_dyn_95,BG,24.643,7.994,32.637,12.215,opt_2,opt_23,1
bg_dyn_96,BG,24.913,9.245,34.157,7.790,opt_28,opt_5,1
bg_dyn_97,BG,24.914,5.994,30.908,6.291,opt_16,opt_3,1
bg_dyn_98,BG,25.028,12.657,37.685,10.528,opt_16,opt_3,1
bg_dyn_99,BG,25.388,11.847,37.235,9.564,opt_21,opt_20,1
bg_dyn_100,BG,25.478,7.191,32.669,11.702,opt_7,opt_24,1
bg_dyn_101,BG,25.826,7.268,33.094,6.302,opt_21,opt_12,1
bg_dyn_102,BG,25.900,11.696,37.595,8.360,opt_10,opt_17,1
bg_dyn_103,BG,27.568,10.649,38.217,13.897,opt_17,opt_11,1
bg_dyn_104,BG,27.647,5.747,33.394,9.366,opt_13,opt_21,2
bg_dyn_105,BG,27.842,10.051,37.894,14.080,opt_7,opt_11,1
bg_dyn_106,BG,27.937,6.062,33.999,6.409,opt_29,opt_23,1
bg_dyn_107,BG,28.319,6.025,34.344,7.709,opt_23,opt_12,1
bg_dyn_108,BG,28.397,10.256,38.653,6.861,opt_4,opt_13,1
bg_dyn_109,BG,28.949,14.058,43.007,9.495,opt_18,opt_16,1
bg_dyn_110,BG,29.199,14.959,44.157,9.263,opt_9,opt_18,2
bg_dyn_111,BG,29.276,5.762,35.037,10.767,opt_11,opt_7,1
bg_dyn_112,BG,29.731,6.967,36.698,9.014,opt_14,opt_3,1
bg_dyn_113,BG,29.777,10.763,40.540,10.523,opt_16,opt_3,1
bg_dyn_114,BG,30.053,9.665,39.718,10.231,opt_20,opt_17,1
bg_dyn_115,BG,30.196,6.492,36.688,9.152,opt_4,opt_18,1
bg_dyn_116,BG,30.792,10.398,41.190,10.415,opt_23,opt_12,1
bg_dyn_117,BG,30.825,6.040,36.864,9.523,opt_24,opt_17,1
bg_dyn_118,BG,31.393,6.859,38.252,13.381,opt_31,opt_6,1
bg_dyn_119,BG,31.418,13.323,44.741,9.397,opt_16,opt_4,1
bg_dyn_120,BG,32.324,14.146,46.470,10.572,opt_10,opt_17,1
bg_dyn_121,BG,32.438,9.030,41.468,14.577,opt_16,opt_3,1
bg_dyn_122,BG,33.203,5.152,38.354,8.870,opt_26,opt_19,1
bg_dyn_123,BG,33.206,9.424,42.629,8.349,opt_4,opt_20,3
bg_dyn_124,BG,33.304,9.937,43.241,13.607,opt_24,opt_25,1
bg_dyn_125,BG,33.343,14.997,48.340,15.969,opt_23,opt_27,1
bg_dyn_126,BG,33.438,5.497,38.935,7.731,opt_29,opt_15,1
bg_dyn_127,BG,33.479,5.185,38.663,7.904,opt_14,opt_15,2
bg_dyn_128,BG,33.935,11.368,45.303,7.568,opt_19,opt_13,2
bg_dyn_129,BG,34.586,11.425,46.011,5.810,opt_10,opt_11,1
bg_dyn_130,BG,34.921,5.266,40.187,6.183,opt_3,opt_9,1
bg_dyn_131,BG,34.926,9.720,44.647,10.388,opt_23,opt_6,2
bg_dyn_132,BG,35.820,6.740,42.560,5.905,opt_12,opt_2,1
bg_dyn_133,BG,36.068,13.629,49.697,10.602,opt_13,opt_27,1
bg_dyn_134,BG,36.216,6.204,42.421,8.220,opt_19,opt_9,1
bg_dyn_135,BG,36.578,11.272,47.850,8.548,opt_25,opt_29,1
bg_dyn_136,BG,37.231,10.120,47.351,8.421,opt_27,opt_1,2
bg_dyn_137,BG,37.257,10.934,48.191,10.589,opt_25,opt_29,1
bg_dyn_138,BG,37.366,13.475,50.842,11.324,opt_12,opt_9,1
bg_dyn_139,BG,37.487,7.561,45.048,7.595,opt_22,opt_8,3
bg_dyn_140,BG,37.657,8.070,45.727,9.944,opt_14,opt_1,2
bg_dyn_141,BG,37.751,6.263,44.014,10.254,opt_16,opt_18,1
bg_dyn_142,BG,38.403,5.544,43.947,8.444,opt_22,opt_12,1
bg_dyn_143,BG,38.452,13.466,51.918,7.738,opt_4,opt_18,1
bg_dyn_144,BG,38.895,8.237,47.132,3.906,opt_21,opt_20,1
bg_dyn_145,BG,39.093,8.975,48.068,9.150,opt_10,opt_13,3
bg_dyn_146,BG,39.723,6.889,46.612,7.805,opt_17,opt_21,1
bg_dyn_147,BG,39.859,6.580,46.439,9.258,opt_5,opt_28,1
bg_dyn_148,BG,40.744,8.226,48.970,7.744,opt_25,opt_7,1
bg_dyn_149,BG,40.981,7.105,48.086,16.740,opt_2,opt_21,2
bg_dyn_150,BG,41.190,8.855,50.045,6.024,opt_8,opt_24,2
bg_dyn_151,BG,41.547,13.253,54.800,9.370,opt_9,opt_17,1
bg_dyn_152,BG,41.629,9.801,51.430,12.494,opt_29,opt_3,1
bg_dyn_153,BG,42.353,9.946,52.299,11.301,opt_7,opt_12,2
bg_dyn_154,BG,42.460,10.039,52.499,10.192,opt_7,opt_27,1
bg_dyn_155,BG,42.784,6.046,48.830,11.806,opt_28,opt_24,1
bg_dyn_156,BG,43.213,10.429,53.643,10.698,opt_21,opt_18,1
bg_dyn_157,BG,43.322,11.185,54.508,9.033,opt_18,opt_4,1
bg_dyn_158,BG,43.594,8.514,52.109,15.631,opt_23,opt_31,1
bg_dyn_159,BG,43.895,5.086,48.981,5.866,opt_7,opt_28,1
bg_dyn_160,BG,44.030,8.438,52.468,10.464,opt_12,opt_16,1
bg_dyn_161,BG,44.110,13.884,57.994,8.904,opt_17,opt_24,1
bg_dyn_162,BG,44.404,6.196,50.600,9.242,opt_7,opt_14,1
bg_dyn_163,BG,44.804,6.795,51.598,9.583,opt_30,opt_13,1
bg_dyn_164,BG,44.804,9.034,53.839,5.854,opt_17,opt_5,2
bg_dyn_165,BG,45.067,8.812,53.879,5.383,opt_8,opt_12,3
bg_dyn_166,BG,45.128,8.181,53.309,8.064,opt_17,opt_9,1
bg_dyn_167,BG,45.435,7.058,52.493,11.240,opt_3,opt_27,1
bg_dyn_168,BG,45.489,6.891,52.380,6.356,opt_6,opt_1,1
bg_dyn_169,BG,45.587,6.696,52.283,7.323,opt_27,opt_17,2
bg_dyn_170,BG,45.904,6.585,52.489,11.145,opt_7,opt_10,1
bg_dyn_171,BG,46.032,5.623,51.655,10.660,opt_2,opt_26,2
bg_dyn_172,BG,46.192,10.452,56.643,14.055,opt_20,opt_25,1
bg_dyn_173,BG,46.243,8.956,55.199,12.044,opt_20,opt_3,2
bg_dyn_174,BG,46.290,6.590,52.880,7.009,opt_13,opt_16,1
bg_dyn_175,BG,46.302,6.815,53.117,7.651,opt_18,opt_4,1
bg_dyn_176,BG,46.575,8.623,55.198,11.105,opt_19,opt_7,1
bg_dyn_177,BG,46.699,10.834,57.533,2.898,opt_1,opt_21,1
bg_dyn_178,BG,46.709,9.137,55.846,10.234,opt_4,opt_14,1
bg_dyn_179,BG,46.733,6.321,53.054,6.078,opt_9,opt_2,1
bg_dyn_180,BG,46.769,9.451,56.220,4.015,opt_2,opt_29,1
bg_dyn_181,BG,46.964,5.722,52.686,17.451,opt_18,opt_21,1
bg_dyn_182,BG,46.968,5.287,52.255,6.506,opt_4,opt_9,2
bg_dyn_183,BG,47.026,14.004,61.030,12.914,opt_16,opt_30,1
bg_dyn_184,BG,47.081,8.694,55.775,9.019,opt_12,opt_26,1
bg_dyn_185,BG,47.244,8.464,55.708,3.596,opt_9,opt_19,1
bg_dyn_186,BG,47.341,14.127,61.469,8.307,opt_9,opt_31,3
bg_dyn_187,BG,47.347,8.299,55.647,10.165,opt_13,opt_27,1
bg_dyn_188,BG,47.350,11.963,59.313,10.959,opt_24,opt_22,2
bg_dyn_189,BG,47.441,10.870,58.312,6.047,opt_3,opt_27,1
bg_dyn_190,BG,47.656,7.378,55.034,12.998,opt_14,opt_13,1
bg_dyn_191,BG,47.792,5.673,53.465,8.674,opt_14,opt_30,1
bg_dyn_192,BG,48.103,8.700,56.802,11.823,opt_23,opt_29,1
bg_dyn_193,BG,48.200,14.835,63.036,15.433,opt_9,opt_21,1
bg_dyn_194,BG,48.320,9.508,57.829,11.389,opt_14,opt_7,1
bg_dyn_195,BG,48.481,11.409,59.890,16.450,opt_24,opt_5,1
bg_dyn_196,BG,48.848,5.501,54.349,13.429,opt_24,opt_7,1
bg_dyn_197,BG,49.139,14.983,64.122,7.905,opt_21,opt_25,1
bg_dyn_198,BG,49.421,8.135,57.556,10.048,opt_12,opt_13,1
bg_dyn_199,BG,49.859,11.066,60.924,13.573,opt_21,opt_20,1
bg_dyn_200,BG,50.221,6.424,56.645,6.938,opt_9,opt_12,1
bg_dyn_201,BG,50.679,5.774,56.453,14.447,opt_3,opt_24,2
bg_dyn_202,BG,51.192,7.262,58.454,5.824,opt_20,opt_25,1
bg_dyn_203,BG,51.506,7.441,58.947,10.816,opt_29,opt_23,1
bg_dyn_204,BG,51.550,6.606,58.156,10.664,opt_3,opt_29,1
bg_dyn_205,BG,51.690,10.514,62.203,14.456,opt_28,opt_29,2
bg_dyn_206,BG,51.734,6.872,58.606,16.348,opt_7,opt_14,1
bg_dyn_207,BG,52.102,5.294,57.395,13.875,opt_25,opt_29,1
bg_dyn_208,BG,52.162,6.780,58.943,10.441,opt_24,opt_19,1
bg_dyn_209,BG,52.358,7.519,59.877,8.155,opt_21,opt_12,1
bg_dyn_210,BG,52.507,8.456,60.964,12.867,opt_28,opt_25,1
bg_dyn_211,BG,52.565,13.922,66.487,8.218,opt_18,opt_14,1
bg_dyn_212,BG,52.718,10.895,63.614,7.751,opt_6,opt_29,1
bg_dyn_213,BG,52.738,5.982,58.720,16.270,opt_14,opt_16,1
bg_dyn_214,BG,52.992,6.888,59.880,10.252,opt_29,opt_23,1
bg_dyn_215,BG,53.021,8.130,61.151,10.724,opt_14,opt_21,2
bg_dyn_216,BG,53.034,10.552,63.586,10.875,opt_16,opt_27,1
bg_dyn_217,BG,53.174,10.257,63.431,11.922,opt_21,opt_20,1
bg_dyn_218,BG,53.413,8.346,61.760,5.664,opt_16,opt_14,1
bg_dyn_219,BG,53.666,5.853,59.519,11.671,opt_16,opt_14,1
bg_dyn_220,BG,53.840,10.483,64.323,14.408,opt_5,opt_29,1
bg_dyn_221,BG,54.509,13.203,67.712,3.319,opt_23,opt_4,1
bg_dyn_222,BG,54.717,7.072,61.790,6.736,opt_11,opt_6,2
bg_dyn_223,BG,54.799,14.738,69.537,6.358,opt_27,opt_3,1
bg_dyn_224,BG,55.089,7.859,62.948,16.182,opt_25,opt_1,1
bg_dyn_225,BG,55.176,8.337,63.513,7.344,opt_24,opt_5,1
bg_dyn_226,BG,55.560,9.875,65.435,5.708,opt_16,opt_27,1
bg_dyn_227,BG,55.593,5.558,61.151,13.563,opt_12,opt_26,1
bg_dyn_228,BG,55.681,6.577,62.258,9.984,opt_18,opt_6,2
bg_dyn_229,BG,56.126,5.599,61.725,5.218,opt_7,opt_20,1
bg_dyn_230,BG,56.299,8.600,64.899,11.375,opt_10,opt_20,1
bg_dyn_231,BG,57.166,8.223,65.388,14.862,opt_16,opt_18,1
bg_dyn_232,BG,57.173,5.885,63.058,5.210,opt_14,opt_13,1
bg_dyn_233,BG,57.312,14.788,72.100,9.069,opt_8,opt_14,1
bg_dyn_234,BG,58.322,12.838,71.159,9.280,opt_14,opt_2,1
bg_dyn_235,BG,58.343,7.228,65.571,6.569,opt_27,opt_25,2
bg_dyn_236,BG,58.350,13.234,71.584,9.066,opt_10,opt_25,1
bg_dyn_237,BG,58.494,7.184,65.679,6.026,opt_12,opt_16,1
bg_dyn_238,BG,58.822,5.062,63.883,9.007,opt_7,opt_14,1
bg_dyn_239,BG,59.131,7.248,66.378,12.142,opt_4,opt_27,1
bg_dyn_240,BG,59.164,13.877,73.040,8.354,opt_8,opt_0,1
bg_dyn_241,BG,59.350,13.026,72.376,9.123,opt_24,opt_21,1
bg_dyn_242,BG,59.480,9.326,68.806,10.521,opt_21,opt_18,1
bg_dyn_243,BG,59.485,13.698,73.183,13.995,opt_6,opt_27,2
bg_dyn_244,BG,59.815,5.576,65.390,11.851,opt_10,opt_24,1
bg_dyn_245,BG,60.233,5.429,65.661,15.283,opt_25,opt_24,1
bg_dyn_246,BG,60.307,12.432,72.740,3.778,opt_14,opt_4,1
bg_dyn_247,BG,60.649,11.628,72.277,10.448,opt_3,opt_9,1
bg_dyn_248,BG,60.686,10.217,70.903,12.792,opt_12,opt_9,1
bg_dyn_249,BG,61.093,10.732,71.824,10.734,opt_12,opt_7,2
bg_dyn_250,BG,61.165,14.761,75.926,3.502,opt_7,opt_24,1
bg_dyn_251,BG,61.203,7.715,68.918,6.951,opt_31,opt_3,2
bg_dyn_252,BG,62.036,14.667,76.704,9.171,opt_12,opt_21,1
bg_dyn_253,BG,62.049,6.686,68.735,6.810,opt_5,opt_4,3
bg_dyn_254,BG,62.611,10.644,73.255,4.998,opt_5,opt_20,1
bg_dyn_255,BG,62.952,7.131,70.083,13.646,opt_8,opt_6,1
bg_dyn_256,BG,63.804,9.757,73.561,11.254,opt_29,opt_13,2
bg_dyn_257,BG,63.811,9.183,72.994,9.783,opt_27,opt_13,1
bg_dyn_258,BG,63.845,6.461,70.306,12.423,opt_2,opt_7,2
bg_dyn_259,BG,63.901,7.140,71.041,10.325,opt_16,opt_13,1
bg_dyn_260,BG,64.038,7.632,71.670,10.430,opt_31,opt_25,2
bg_dyn_261,BG,64.092,6.941,71.033,13.531,opt_14,opt_12,2
bg_dyn_262,BG,64.286,6.136,70.421,10.535,opt_27,opt_9,1
bg_dyn_263,BG,64.732,6.631,71.363,11.629,opt_19,opt_20,1
bg_dyn_264,BG,64.812,11.468,76.280,14.077,opt_29,opt_27,1
bg_dyn_265,BG,64.980,13.894,78.874,4.319,opt_27,opt_4,1
bg_dyn_266,BG,64.999,6.934,71.933,9.267,opt_3,opt_18,1
bg_dyn_267,BG,65.124,6.598,71.723,7.444,opt_24,opt_10,1
bg_dyn_268,BG,65.543,9.260,74.803,9.680,opt_11,opt_1,1
bg_dyn_269,BG,65.649,6.195,71.844,15.394,opt_9,opt_1,2
bg_dyn_270,BG,65.714,12.245,77.959,9.953,opt_16,opt_4,1
bg_dyn_271,BG,65.719,8.444,74.163,9.557,opt_10,opt_30,3
bg_dyn_272,BG,65.839,8.710,74.549,5.473,opt_28,opt_25,1
bg_dyn_273,BG,66.306,8.011,74.318,9.505,opt_16,opt_3,1
bg_dyn_274,BG,66.785,8.170,74.955,10.527,opt_12,opt_22,1
bg_dyn_275,BG,66.971,5.665,72.636,4.581,opt_3,opt_29,1
bg_dyn_276,BG,67.395,10.764,78.158,15.384,opt_3,opt_2,1
bg_dyn_277,BG,67.442,7.476,74.918,4.832,opt_20,opt_19,1
bg_dyn_278,BG,67.554,11.566,79.120,13.937,opt_16,opt_18,1
bg_dyn_279,BG,67.600,14.385,81.986,8.936,opt_7,opt_25,1
bg_dyn_280,BG,68.278,5.554,73.831,2.228,opt_26,opt_29,2
bg_dyn_281,BG,68.611,6.047,74.658,13.693,opt_19,opt_10,1
bg_dyn_282,BG,68.742,8.587,77.329,8.250,opt_27,opt_23,1
bg_dyn_283,BG,68.873,7.869,76.741,10.449,opt_4,opt_18,1
bg_dyn_284,BG,68.954,7.069,76.023,7.175,opt_1,opt_6,1
bg_dyn_285,BG,68.967,6.184,75.151,6.569,opt_27,opt_16,1
bg_dyn_286,BG,69.542,6.016,75.558,3.449,opt_20,opt_17,1
bg_dyn_287,BG,69.731,7.476,77.208,7.327,opt_17,opt_21,1
bg_dyn_288,BG,70.005,7.384,77.388,9.698,opt_7,opt_10,1
bg_dyn_289,BG,70.172,7.571,77.743,6.668,opt_5,opt_12,2
bg_dyn_290,BG,70.224,12.341,82.565,12.209,opt_7,opt_27,1
bg_dyn_291,BG,70.353,10.893,81.246,9.597,opt_21,opt_20,1
bg_dyn_292,BG,70.514,7.504,78.018,7.615,opt_28,opt_7,1
bg_dyn_293,BG,70.553,8.743,79.296,8.615,opt_3,opt_18,1
bg_dyn_294,BG,70.613,7.490,78.104,9.157,opt_14,opt_16,1
bg_dyn_295,BG,70.775,7.875,78.650,10.301,opt_3,opt_27,1
bg_dyn_296,BG,71.458,13.329,84.787,5.353,opt_7,opt_4,2
bg_dyn_297,BG,71.564,11.397,82.961,10.901,opt_7,opt_27,1
bg_dyn_298,BG,71.778,12.623,84.401,8.766,opt_27,opt_2,2
bg_dyn_299,BG,72.376,14.665,87.042,10.325,opt_25,opt_24,1
bg_dyn_300,BG,72.607,5.322,77.929,7.886,opt_14,opt_16,1
bg_dyn_301,BG,72.761,9.481,82.242,7.670,opt_0,opt_3,2
bg_dyn_302,BG,72.842,8.354,81.196,12.742,opt_13,opt_16,1
bg_dyn_303,BG,72.899,5.728,78.627,9.725,opt_8,opt_0,1
bg_dyn_304,BG,72.912,5.559,78.471,11.125,opt_4,opt_13,1
bg_dyn_305,BG,73.028,6.020,79.048,15.125,opt_19,opt_7,1
bg_dyn_306,BG,73.277,7.669,80.947,14.479,opt_11,opt_13,2
bg_dyn_307,BG,73.684,6.238,79.922,12.693,opt_28,opt_10,1
bg_dyn_308,BG,74.040,5.781,79.821,10.224,opt_27,opt_5,2
bg_dyn_309,BG,74.113,13.205,87.318,14.396,opt_3,opt_18,1
bg_dyn_310,BG,74.472,12.815,87.287,12.817,opt_3,opt_10,2
bg_dyn_311,BG,74.541,8.845,83.386,12.600,opt_20,opt_17,1
bg_dyn_312,BG,74.626,7.017,81.644,15.928,opt_25,opt_29,1
bg_dyn_313,BG,75.151,9.249,84.400,10.258,opt_9,opt_27,1
bg_dyn_314,BG,76.001,11.362,87.364,14.403,opt_11,opt_28,1
bg_dyn_315,BG,76.019,7.691,83.710,11.212,opt_21,opt_26,1
bg_dyn_316,BG,76.243,13.949,90.192,7.857,opt_12,opt_29,1
bg_dyn_317,BG,77.114,6.875,83.989,12.852,opt_12,opt_21,1
bg_dyn_318,BG,77.194,5.941,83.135,14.869,opt_1,opt_25,1
bg_dyn_319,BG,77.460,7.398,84.858,10.379,opt_21,opt_26,1
bg_dyn_320,BG,77.616,8.400,86.016,10.104,opt_26,opt_9,1
bg_dyn_321,BG,77.619,6.311,83.930,5.216,opt_11,opt_3,1
bg_dyn_322,BG,77.811,6.454,84.265,8.346,opt_8,opt_6,1
bg_dyn_323,BG,77.820,14.139,91.959,7.581,opt_3,opt_14,1
bg_dyn_324,BG,77.875,6.164,84.038,6.568,opt_30,opt_21,2
bg_dyn_325,BG,78.200,7.669,85.869,7.837,opt_25,opt_5,1
bg_dyn_326,BG,79.185,6.468,85.654,12.802,opt_5,opt_17,2
bg_dyn_327,BG,79.349,5.467,84.816,13.676,opt_28,opt_14,2
bg_dyn_328,BG,79.353,12.747,92.100,4.117,opt_11,opt_27,1
bg_dyn_329,BG,79.840,11.984,91.824,3.760,opt_25,opt_1,1
bg_dyn_330,BG,79.866,5.759,85.626,7.863,opt_25,opt_11,1
bg_dyn_331,BG,80.020,14.652,94.673,12.804,opt_4,opt_14,1
bg_dyn_332,BG,80.462,5.444,85.906,8.965,opt_26,opt_9,1
bg_dyn_333,BG,80.718,6.348,87.066,8.842,opt_21,opt_25,1
bg_dyn_334,BG,80.822,10.567,91.389,10.306,opt_19,opt_10,1
bg_dyn_335,BG,80.978,14.995,95.973,5.846,opt_8,opt_14,1
bg_dyn_336,BG,81.069,14.229,95.299,12.792,opt_6,opt_18,2
bg_dyn_337,BG,81.358,13.405,94.763,2.943,opt_9,opt_3,1
bg_dyn_338,BG,81.361,5.643,87.004,11.842,opt_4,opt_2,2
bg_dyn_339,BG,81.374,14.432,95.805,12.389,opt_2,opt_5,2
bg_dyn_340,BG,81.978,9.360,91.338,9.215,opt_1,opt_11,1
bg_dyn_341,BG,82.269,11.061,93.330,8.973,opt_21,opt_26,1
bg_dyn_342,BG,82.490,9.051,91.540,11.591,opt_6,opt_2,2
bg_dyn_343,BG,82.546,7.418,89.964,10.286,opt_22,opt_16,2
bg_dyn_344,BG,82.985,12.617,95.602,15.333,opt_6,opt_14,1
bg_dyn_345,BG,83.296,6.755,90.051,6.529,opt_10,opt_19,1
bg_dyn_346,BG,83.840,5.120,88.961,11.966,opt_12,opt_31,2
